,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_a5_5d_a_rep_trace_similarity,logit_excluded_loss_a5_5d_a_rep,logit_restricted_loss_a5_5d_a_rep,percent_x_embed_a5_5d_a_rep,percent_y_embed_a5_5d_a_rep,percent_unembed_a5_5d_a_rep,percent_hidden_a5_5d_a_rep,hidden_excluded_loss_a5_5d_a_rep,hidden_restricted_loss_a5_5d_a_rep,logit_a5_3d_a_rep_trace_similarity,logit_excluded_loss_a5_3d_a_rep,logit_restricted_loss_a5_3d_a_rep,percent_x_embed_a5_3d_a_rep,percent_y_embed_a5_3d_a_rep,percent_unembed_a5_3d_a_rep,percent_hidden_a5_3d_a_rep,hidden_excluded_loss_a5_3d_a_rep,hidden_restricted_loss_a5_3d_a_rep,logit_a5_3d_b_rep_trace_similarity,logit_excluded_loss_a5_3d_b_rep,logit_restricted_loss_a5_3d_b_rep,percent_x_embed_a5_3d_b_rep,percent_y_embed_a5_3d_b_rep,percent_unembed_a5_3d_b_rep,percent_hidden_a5_3d_b_rep,hidden_excluded_loss_a5_3d_b_rep,hidden_restricted_loss_a5_3d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,epoch
330,4.093606070968082,4.1018973294466985,0.016203703358769417,0.01805555634200573,4.096922575269602,0.014961913,0.014961913,0.016538048,0.957621,4.094036152900425,4.096506098124279,0.00016890705,4.0936552683127685,4.094295362577948,0.2650555,0.2650555,0.26659918,3.9252327e-06,4.093680372438606,4.094295413894125,2.4885609e-05,4.093615132272968,4.094335501286366,0.41878307,0.41878307,0.41344455,5.7771995e-06,4.093640906268653,4.09433559099846,5.3858967e-06,4.093607277151888,4.094343357803802,0.15549695,0.15549695,0.15034594,0.013800091,4.091788777866417,4.096271700140234,2.4088265e-05,4.093611458568514,4.094339175497297,0.14814363,0.14814363,0.1524726,0.01380044,4.094036952393009,4.093923761320309,2.9758137e-08,4.093612662078997,4.094337971078885,4.0921965202604165,4.095851220625182,1.0014761544049917,0,0
27,4.089118401851295,4.108760248555505,0.018518518656492233,0.012500000186264515,4.096975141300965,0.014985319,0.014985319,0.016523384,0.95505965,4.093293807899119,4.097503058255927,0.0002561598,4.0891943909887765,4.094268563191776,0.26532832,0.26532832,0.26657733,4.10149e-06,4.091398812900361,4.094268752594936,1.74296e-05,4.08912486735556,4.094338098309037,0.4187788,0.4187788,0.41319257,5.871709e-06,4.091329285385068,4.094338220041048,9.7067066e-05,4.089140512002049,4.094322452973307,0.15538894,0.15538894,0.15040213,0.013763469,4.090745082368119,4.095036285232932,7.9200225e-05,4.089136438966006,4.094326522552165,0.14793947,0.14793947,0.15267393,0.013763985,4.092479806561649,4.093198563287057,8.1616335e-08,4.089158547794907,4.094304413303487,4.091905731005759,4.093890716556818,1.00363212724232,0,1
344,4.086780744400141,4.117158191689253,0.020370369777083397,0.011805555783212185,4.098931723510181,0.014986222,0.014986222,0.016485754,0.9552295,4.092493080876061,4.099476559819739,0.00020058465,4.086859049655847,4.09426624279822,0.26557666,0.26557666,0.26659942,4.502481e-06,4.0903107034395445,4.094266559642233,6.968003e-05,4.086814745889221,4.094310553451664,0.41873628,0.41873628,0.4130268,6.0298044e-06,4.090265417636041,4.09431071695549,0.00013054273,4.086819871199019,4.094305430480263,0.15531352,0.15531352,0.15039712,0.013765362,4.090600643959595,4.09413492200361,7.079818e-05,4.086801960057667,4.094323339601606,0.14776978,0.14776978,0.15284935,0.013765048,4.091636523820657,4.092954817917337,6.714329e-08,4.086841089425583,4.094284207860011,4.092010366799363,4.092745830995092,1.0059647878715754,0,2
314,4.085282954201022,4.124996925703973,0.021296296268701553,0.012500000186264515,4.101168542477465,0.014959784,0.014959784,0.01643728,0.95584387,4.091629110900778,4.101308878021078,0.00019512224,4.085375819611566,4.094251674131649,0.2658577,0.2658577,0.2666139,4.744298e-06,4.089552854863661,4.094252096508852,0.000108690496,4.085347610221634,4.094279884375868,0.41867766,0.41867766,0.41289592,6.0464267e-06,4.08952503665327,4.094280096804925,0.0001373124,4.085333126774593,4.094294377950073,0.1552679,0.1552679,0.15040413,0.013773617,4.090459071358314,4.093550516611687,8.602388e-05,4.085314385269165,4.094313122599672,0.14756098,0.14756098,0.15300564,0.01377248,4.090725970126412,4.09307869249628,7.614111e-08,4.085364556514649,4.094262938324497,4.0917313966526265,4.09228549696738,1.00799343759394,0,3
391,4.08389540808016,4.1308819194208795,0.01944444328546524,0.011111111380159855,4.102690012956359,0.0149042215,0.0149042215,0.016390493,0.95539665,4.090744635167013,4.102324894356082,0.00019559696,4.08399830493766,4.094241635648945,0.26615155,0.26615155,0.2666139,5.4331754e-06,4.088668864505142,4.094242138641864,0.000107552114,4.083966129915886,4.094273817313278,0.41862363,0.41862363,0.41275227,6.6086504e-06,4.088636868581801,4.09427408834171,0.00016691635,4.083962821529093,4.094277129817934,0.15523836,0.15523836,0.15045795,0.013766417,4.089901599192375,4.093247766908804,0.00011487177,4.083941798846907,4.094298155214788,0.1473382,0.1473382,0.15313631,0.013765465,4.089476775645031,4.093410509309708,9.088222e-08,4.0840092144230296,4.0942307228113854,4.0908179155662765,4.092314675796536,1.0094243103670508,0,4
153,4.0823122764291835,4.134539891021485,0.021296296268701553,0.009722222574055195,4.103203322034652,0.014832413,0.014832413,0.01634432,0.9533917,4.089787635643764,4.10242950259663,0.00022404041,4.082433905027444,4.0942228929646145,0.26645523,0.26645523,0.2666022,6.1402293e-06,4.087528593214416,4.094223460409405,0.00013695795,4.082405212547239,4.09425159012852,0.4185655,0.4185655,0.4125702,7.386898e-06,4.0875008506684996,4.0942519297564015,0.00018768199,4.082390500528099,4.094266312744538,0.155231,0.155231,0.15056816,0.013737687,4.088819874178471,4.093184899827387,0.00014358587,4.0823721182682124,4.09428469749851,0.14709894,0.14709894,0.15325603,0.013737298,4.087938591180431,4.093768196320461,1.2479302e-07,4.082450344789863,4.094206448022141,4.089355494211601,4.09260951979621,1.0102453876976183,0,5
23,4.080588268233933,4.136499648612636,0.021296296268701553,0.009027778171002865,4.102952819690561,0.01474847,0.01474847,0.016294172,0.9495004,4.08879099322176,4.101895660205431,0.00024776818,4.080721168574783,4.094211612227792,0.26678222,0.26678222,0.26659703,6.9947537e-06,4.086255860193177,4.0942122290861676,0.00017747498,4.080707258693119,4.094225522818687,0.418487,0.418487,0.4123663,8.1929475e-06,4.086242310546224,4.094225940889268,0.0002065805,4.080673340786798,4.094259460866503,0.15523434,0.15523434,0.15069254,0.013682287,4.087438450819112,4.093275995111072,0.00018307674,4.080663656630532,4.094269143263151,0.14684936,0.14684936,0.1533729,0.013682,4.086372228855673,4.094032511599453,1.6907904e-07,4.080748726335952,4.094184041902086,4.087691947525221,4.0929648997825625,1.0106364823290779,0,6
378,4.078765937966959,4.13754066536277,0.021759258583188057,0.009027778171002865,4.102275829063205,0.014655345,0.014655345,0.016233167,0.9437109,4.087728166643854,4.101066679641762,0.00027258715,4.078906853963278,4.0942035906405,0.26712626,0.26712626,0.2666129,8.018016e-06,4.084928186331482,4.094204240353818,0.00022186709,4.078909303334029,4.094201135595643,0.4183895,0.4183895,0.41216204,9.150677e-06,4.084930893726895,4.094201641736226,0.0002289117,4.078856792900789,4.094253675897267,0.15525308,0.15525308,0.1508014,0.013598954,4.085945489603765,4.093414180588389,0.00023532155,4.078859329177407,4.094251130961511,0.14659235,0.14659235,0.15348636,0.0135988835,4.084899992522466,4.094158501745346,2.3130555e-07,4.078950183468342,4.0941602446317376,4.086063353908924,4.093228999705879,1.0108256014164063,0,7
507,4.076855493644048,4.138393792973722,0.024074073880910873,0.0076388888992369175,4.101470813758663,0.014557138,0.014557138,0.016156584,0.9361905,4.086566454788827,4.100193852703312,0.00031583378,4.077011221085825,4.094188774265206,0.26748824,0.26748824,0.26664713,8.957962e-06,4.083563492953362,4.094189442940667,0.00026916695,4.0770213865458915,4.094178600566559,0.418282,0.418282,0.41198093,1.0439968e-05,4.083574553532632,4.094179208524071,0.00025861379,4.076953389639847,4.094246628702779,0.15527129,0.15527129,0.15088294,0.01349063,4.084419903944332,4.093535606584828,0.0002799556,4.076961461058869,4.0942385469,0.1463319,0.1463319,0.1535949,0.013490256,4.083525628610003,4.094151474844421,3.1745805e-07,4.077059358653971,4.094140613390979,4.084543070560222,4.093343307528722,1.011005792102055,0,8
723,4.074822267937587,4.139580537319851,0.024074073880910873,0.0076388888992369175,4.100725575259497,0.014450611,0.014450611,0.016063303,0.927323,4.0852629394359425,4.099442450238695,0.0003866767,4.0750043794196635,4.0941623740374355,0.2678616,0.2678616,0.26670438,9.940489e-06,4.082137580294904,4.094163054040972,0.0003281403,4.075015442893428,4.094151301922577,0.41815865,0.41815865,0.41181737,1.1827425e-05,4.082150262271709,4.0941520299081136,0.00029890065,4.074930343626668,4.09423644282592,0.1552935,0.1552935,0.15094543,0.013361758,4.082858640435007,4.0936219787422665,0.00032820442,4.074940925961473,4.09422584303664,0.14607665,0.14607665,0.1537005,0.013362395,4.082173151916671,4.09405532686568,4.5425466e-07,4.075049002946472,4.094117723643664,4.0830820523549995,4.0933334437228215,1.0112981495968647,0,9
