,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_x_trivial_rep,percent_hidden_y_trivial_rep,percent_hidden_xy_trivial_rep,total_percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_x_sign_rep,percent_hidden_y_sign_rep,percent_hidden_xy_sign_rep,total_percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_x_standard_rep,percent_hidden_y_standard_rep,percent_hidden_xy_standard_rep,total_percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_x_standard_sign_rep,percent_hidden_y_standard_sign_rep,percent_hidden_xy_standard_sign_rep,total_percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_x_s5_5d_a_rep,percent_hidden_y_s5_5d_a_rep,percent_hidden_xy_s5_5d_a_rep,total_percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_x_s5_5d_b_rep,percent_hidden_y_s5_5d_b_rep,percent_hidden_xy_s5_5d_b_rep,total_percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_x_s5_6d_rep,percent_hidden_y_s5_6d_rep,percent_hidden_xy_s5_6d_rep,total_percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,percent_hidden_explained,percent_hidden_xy_explained,percent_x_embed_explained,percent_y_embed_explained,percent_unembed_explained,epoch
355,4.790470779039786,4.791574826187112,0.0078125,0.008217592723667622,4.791133207254072,0.008900578,0.009545045,0.009634116,1.2739529e-15,1.2739529e-15,1.2739529e-15,3.821859e-15,4.789406465825968,4.788810641526485,0.00022929237,4.790491072626174,4.7874714503621645,0.007558232,0.0062907194,0.013811592,0.0038585437,0.002764371,7.439851e-06,0.0066303546,4.790494594157714,4.787471468953785,0.00018959472,4.790537894559411,4.787424625560771,0.13746841,0.12987244,0.12673217,0.06660662,0.05128533,0.00014893351,0.11804089,4.790533780833807,4.787425010385114,0.00010115696,4.790506587867379,4.787455932817928,0.13752136,0.13916454,0.13604632,0.06791041,0.053982593,0.00018059288,0.1220736,4.790492670239474,4.787456402946149,-0.0002668699,4.7903526858577195,4.787609834450581,0.22407345,0.20088315,0.21555215,0.09913587,0.08053395,0.00027365502,0.17994349,4.790323523743364,4.787610535754735,0.00018527608,4.79055276200149,4.787409757236893,0.18851998,0.21498938,0.20178862,0.09015711,0.08837743,0.00023787507,0.17877242,4.790580081915704,4.787410389230828,0.00035003113,4.790656647447299,4.78730587444269,0.29595795,0.29925478,0.29643506,0.13137923,0.12132202,0.00035126798,0.25305253,4.7906827410021675,4.7873067965713725,3.2682243e-07,4.790557886440702,4.787404629306317,4.790541530341898,4.787406836174842,1.0008706153779905,389.1525,0.60546076,0.00084849633,0.69514143,0.6912002,0.69393086,0
33,4.788857733766576,4.7921085820553335,0.00798611156642437,0.007986110635101795,4.790808242816969,0.009182244,0.009504988,0.009654125,1.7072913e-15,1.7072913e-15,1.7072913e-15,5.1218736e-15,4.787906025875659,4.7887752427889385,0.00027701314,4.788882012002556,4.78746746383378,0.00767408,0.0062704287,0.013823959,0.0038982902,0.002754914,7.523779e-06,0.0066607282,4.788885615862447,4.787467482455068,0.0002927002,4.788960347070979,4.787389126475559,0.13793552,0.13009834,0.12673971,0.06685992,0.05142761,0.0001497903,0.11843733,4.7889567175951395,4.787389508255904,0.00019238357,4.788925179425515,4.787424295910342,0.13748662,0.13930887,0.13607481,0.06785469,0.053887043,0.00018126718,0.12192299,4.788913041524076,4.787424759043038,-0.00013173818,4.788800001943351,4.787549474825738,0.22312412,0.20069677,0.2155121,0.098467946,0.08051372,0.0002733229,0.17925498,4.788771195618932,4.7875501647704635,0.00028957322,4.788984627322295,4.7873648426616535,0.1884011,0.2149469,0.20189556,0.090109095,0.08845121,0.00023880167,0.17879911,4.789011620062093,4.787365466962231,0.00049323414,4.7891171133326695,4.78723236211403,0.29619634,0.2991737,0.29629976,0.13130973,0.1213153,0.00035287693,0.25297794,4.789143692566855,4.787233274330434,5.4390864e-07,4.789121235127332,4.787228232557585,4.789107253292561,4.787230410360631,1.0010189966382534,388.06458,0.6050751,0.0008507059,0.69462144,0.69132125,0.69404614,1
363,4.787284491567955,4.792645334882025,0.00937500037252903,0.008101851679384708,4.790500997690926,0.009445612,0.009477467,0.009672747,1.1626803e-15,1.1626803e-15,1.1626803e-15,3.488041e-15,4.786441156550379,4.788743625510674,0.00032428457,4.787312668159969,4.7874635655343285,0.007789522,0.006246624,0.013836909,0.0039378335,0.002744139,7.669697e-06,0.006689642,4.787316357437511,4.787463584288638,0.00039388385,4.787421388116817,4.78735484238352,0.1384337,0.13032404,0.1267396,0.06713425,0.0515687,0.00015076593,0.11885371,4.787418133098303,4.78735522252406,0.0002788632,4.787381411630392,4.7873948194548825,0.13742225,0.1394739,0.13610071,0.06780162,0.053795792,0.00018183378,0.12177924,4.787371050364892,4.7873952760740766,-1.1350494e-06,4.787283999284231,4.7874922359140575,0.22219378,0.20045525,0.21547374,0.097821794,0.08047818,0.00027309472,0.17857306,4.787255545356078,4.787492915731042,0.00039257135,4.787455038243107,4.787321187364797,0.18821236,0.21493225,0.20200583,0.09004117,0.0885162,0.00023983048,0.1787972,4.787481717435244,4.787321805388215,0.0006375718,4.787616882066775,4.787159346034801,0.29650283,0.2990905,0.29617047,0.13130225,0.12128753,0.00035472284,0.25294453,4.787643928574431,4.787160250231397,8.9868104e-07,4.787716537720997,4.787059679533344,4.787704835303128,4.787061832874259,1.0011663734881011,387.0533,0.6046928,0.0008531946,0.6940516,0.69143206,0.69415677,2
330,4.78574700355183,4.793184610503429,0.010243055410683155,0.0076388888992369175,4.790209567588574,0.009681768,0.009450857,0.009689497,8.968941e-16,8.968941e-16,8.968941e-16,2.6906823e-15,4.785008108062531,4.788715552074468,0.00037049956,4.785778949480868,4.787459794980878,0.007901647,0.0062187184,0.0138506815,0.0039748577,0.0027325132,7.804961e-06,0.006715176,4.7857827373965245,4.787459813916957,0.00049530284,4.785917836506278,4.787320903132514,0.13894166,0.13060912,0.12673065,0.067414045,0.051737234,0.00015193986,0.11930322,4.785914844791099,4.787321282944011,0.0003629381,4.785872182985362,4.787366558150924,0.13731882,0.13961269,0.13612787,0.06774141,0.05369437,0.00018230191,0.12161808,4.785863471534656,4.78736700860065,0.00012700481,4.785801761980313,4.787436984494329,0.22131571,0.20020035,0.21543853,0.09721638,0.0804445,0.00027307143,0.17793396,4.785773648259526,4.787437656116168,0.0004942429,4.785960081234641,4.787278649983891,0.18798181,0.21488298,0.20211314,0.08995028,0.088544935,0.00024076743,0.17873599,4.785986673780072,4.78727926269016,0.0007789314,4.786149993143609,4.78708873981551,0.29685858,0.29902524,0.2960496,0.13134235,0.121240415,0.00035696576,0.25293973,4.7861774087895474,4.787089638833877,1.3814592e-06,4.786342796517854,4.786895919646636,4.786333357578483,4.7868980531970555,1.0013132841427812,386.11954,0.6043064,0.0008558856,0.69345963,0.69152385,0.6942609,3
416,4.784246140379235,4.7937253182836015,0.011111111380159855,0.0069444444961845875,4.789933647158456,0.009895685,0.009429669,0.00970375,1.3660899e-15,1.3660899e-15,1.3660899e-15,4.09827e-15,4.783607983257064,4.788690865518391,0.00041305128,4.784281518924965,4.787456361426556,0.008012662,0.006187283,0.013864986,0.0040101786,0.0027187837,7.905017e-06,0.006736867,4.784285419142609,4.78745638040764,0.0005970809,4.784450712314434,4.787287160241778,0.13946259,0.13093325,0.12671533,0.06769267,0.05192836,0.00015342723,0.11977445,4.784447986543589,4.7872875412143445,0.00044178928,4.784397507049606,4.787340368771562,0.13720615,0.13974534,0.13615605,0.06767613,0.053598266,0.00018272962,0.12145713,4.7843903827757135,4.787340813834619,0.00025359786,4.784354751953068,4.787383127027922,0.22048625,0.19995597,0.2154022,0.096643224,0.080435894,0.00027305936,0.17735218,4.784327055611767,4.7873837919699245,0.0005942257,4.784500626667618,4.787237237133827,0.18772946,0.2148417,0.20221892,0.08982831,0.08857439,0.00024175088,0.17864445,4.784527193307374,4.787237846052867,0.0009172905,4.784717569807389,4.787020295102492,0.29720724,0.29890674,0.29593876,0.13139342,0.12117899,0.00035927046,0.25293168,4.78474540161463,4.787021189978599,1.9811328e-06,4.785000555649969,4.786737283477403,4.784993473679102,4.78673940233982,1.0014594310148504,385.26804,0.60396504,0.0008588721,0.69289714,0.69166356,0.6943575,4
151,4.78278357399603,4.794268522778397,0.011111111380159855,0.006712962873280048,4.789674543108407,0.010088475,0.009414841,0.009715226,2.336996e-15,2.336996e-15,2.336996e-15,7.0109883e-15,4.7822425489964155,4.788669300560314,0.00045833265,4.782822609457441,4.787452704626317,0.008124451,0.0061560273,0.013879102,0.0040440247,0.0027038974,8.03914e-06,0.006755961,4.7828266246796085,4.787452723749559,0.0006924325,4.783019472714979,4.787255830137652,0.13998097,0.13126576,0.12669724,0.06795593,0.05213367,0.00015500392,0.12024461,4.783017024416356,4.787256213069662,0.00052019826,4.782960796858872,4.7873145102546415,0.1370869,0.13986275,0.13618428,0.067608334,0.05350893,0.00018321541,0.12130048,4.782955361817648,4.787314950390567,0.00037707068,4.782944154553923,4.787331156539589,0.21969083,0.1997135,0.21536314,0.09608625,0.08044344,0.0002731614,0.17680286,4.782916800817629,4.787331816412385,0.00069222867,4.7830783519690385,4.787196938375658,0.1874406,0.21479546,0.20232335,0.08968663,0.08860841,0.00024261806,0.17853767,4.783104917210267,4.787197544399633,0.0010493265,4.78331980636103,4.7869554825068334,0.2975878,0.29879165,0.29583767,0.13146397,0.12111775,0.00036172193,0.25294343,4.783347849917763,4.786956374863799,2.682587e-06,4.78369108811135,4.78658416879075,4.783686429267816,4.786586276955439,1.001604952961977,384.49615,0.60364157,0.0008620379,0.6923238,0.6917935,0.69444716,5
29,4.781348783950328,4.794816826516989,0.01145833358168602,0.0065972222946584225,4.789429609524363,0.0102576325,0.009407001,0.00972405,1.2178413e-15,1.2178413e-15,1.2178413e-15,3.653524e-15,4.780901608156487,4.788650673239637,0.0005050808,4.781391598331903,4.787448924859198,0.008231248,0.006120474,0.013892882,0.0040750066,0.002687421,8.185467e-06,0.0067706127,4.7813957318682965,4.787448944213535,0.00078563846,4.781615176132324,4.787225331184552,0.1405209,0.13159567,0.12667923,0.068223864,0.052344166,0.00015640362,0.12072443,4.781612836835013,4.787225716168283,0.0005963275,4.781550986230469,4.787289526513161,0.13693821,0.13997935,0.13621166,0.06753131,0.053425834,0.00018354817,0.12114069,4.781547283220856,4.7872899621577485,0.0004995744,4.7815605323609836,4.787279983553666,0.21892664,0.19948356,0.2153217,0.09554994,0.08047231,0.00027335106,0.17629561,4.781533524293227,4.787280639935305,0.0007862429,4.781682023254682,4.787158471511232,0.1871476,0.21473369,0.20242456,0.089535885,0.08863671,0.00024352212,0.1784161,4.781708472566547,4.787159075785538,0.0011766269,4.7819472428898715,4.7868932479147865,0.2979778,0.2986803,0.29574597,0.13154946,0.12105234,0.0003643873,0.2529662,4.781975501973366,4.786894139652409,3.480144e-06,4.782405179603378,4.786435266485866,4.78240271048867,4.7864373671504366,1.0017506672967376,383.80286,0.6033474,0.0008650104,0.6917646,0.6919128,0.69453,6
398,4.779940536414246,4.795372491661315,0.011805555783212185,0.0065972222946584225,4.789199709701733,0.010407554,0.009405736,0.009730233,1.0291718e-15,1.0291718e-15,1.0291718e-15,3.0875156e-15,4.779584120859997,4.788634936922402,0.00054883107,4.779986883057814,4.787445390072837,0.00833921,0.0060862578,0.0139063,0.0041070166,0.0026699153,8.313861e-06,0.0067852456,4.779991136407084,4.787445409679478,0.00087481714,4.7802360547135425,4.787196200391679,0.14107072,0.13191721,0.12666288,0.06849335,0.05255202,0.00015759635,0.12120296,4.780233796949772,4.787196587534616,0.0006721361,4.780167589154949,4.7872646723354535,0.13675085,0.14010279,0.13623765,0.06744166,0.053346414,0.00018394226,0.12097201,4.780165540720666,4.787265104311933,0.0006188749,4.780201868321119,4.787230396028857,0.21820632,0.199274,0.21527821,0.09504282,0.080516204,0.00027375913,0.17583278,4.780175110282354,4.787231050403276,0.0008752769,4.78031011965766,4.787122119970044,0.1868589,0.21464342,0.20252118,0.08938882,0.08865777,0.00024446478,0.17829105,4.780336245037122,4.787122723833159,0.0012990123,4.7805987637811045,4.786833468235258,0.29836643,0.2985706,0.29566354,0.13165808,0.120987296,0.0003669037,0.25301227,4.78062731054115,4.786834360588971,4.354836e-06,4.781140369600968,4.7862918076543615,4.7811396816205,4.7862939045822515,1.0018967884672463,383.18518,0.6030841,0.0008680764,0.691226,0.6920237,0.6946062,7
540,4.778558671560681,4.7959333082679745,0.011979167349636555,0.006712962873280048,4.788983453595483,0.010539294,0.009410906,0.009733855,1.1895034e-15,1.1895034e-15,1.1895034e-15,3.56851e-15,4.778290125906571,4.788622185900684,0.0005876699,4.778608163443649,4.787442245470999,0.008441383,0.00605098,0.013919264,0.004137477,0.0026517566,8.41546e-06,0.006797649,4.778612476255142,4.7874422652666295,0.00096232875,4.778882859971924,4.7871675241862555,0.14162499,0.1322217,0.12664843,0.0687573,0.05275624,0.0001586855,0.12167223,4.778880751632452,4.78716791392855,0.0007469005,4.778810287789706,4.787240103642232,0.13654776,0.14022781,0.13626258,0.06734277,0.05327045,0.0001843927,0.12079762,4.77880973604414,4.787240532959024,0.0007354266,4.778868367468634,4.78718202543289,0.21752317,0.19908696,0.21523313,0.09456489,0.080578275,0.0002744128,0.17541759,4.778841964126782,4.787182679530554,0.0009623354,4.778963902934206,4.787086465943701,0.18657109,0.21454066,0.2026127,0.08923729,0.088681564,0.00024540196,0.17816426,4.778989619202188,4.787087070676029,0.0014144941,4.779273450173919,4.786776905903266,0.2987523,0.298461,0.29559004,0.1317889,0.12093035,0.00036897403,0.25308824,4.779302105470124,4.78677779897919,5.297028e-06,4.779898892905096,4.786151393512625,4.779899858098964,4.786153491239979,1.0020433563290219,382.64447,0.60284936,0.0008713084,0.6907084,0.6921281,0.6946761,8
760,4.777200344959528,4.796498638256985,0.01232638955116272,0.0065972222946584225,4.788779320903983,0.0106465835,0.009418706,0.009734973,1.703458e-15,1.703458e-15,1.703458e-15,5.1103742e-15,4.777016914083285,4.788612333550197,0.00062079134,4.777252534832413,4.787439544700111,0.008537616,0.0060155755,0.013931741,0.0041672527,0.002633286,8.4914145e-06,0.00680903,4.777256893126051,4.787439564646571,0.0010454133,4.777551921893676,4.787140130929937,0.14218657,0.13252336,0.12663595,0.0690166,0.052956004,0.0001597362,0.12213234,4.777549912445686,4.78714052353395,0.0008182634,4.777475530879587,4.787216529345624,0.13632375,0.14034872,0.1362867,0.067233816,0.05319288,0.00018475828,0.12061146,4.777476375923512,4.787216956717872,0.0008510708,4.7775581258224005,4.787133932490049,0.21686396,0.19892482,0.21518642,0.094119266,0.080649726,0.00027515212,0.17504413,4.777532046942247,4.787134587525462,0.0010466699,4.777640333282509,4.787051698717438,0.18628159,0.21443053,0.20269915,0.08908569,0.08870358,0.00024610467,0.17803538,4.7776656679489715,4.787052304837531,0.0015273782,4.777970848312238,4.786721170365734,0.29915997,0.29833835,0.295525,0.13195509,0.12087591,0.0003709962,0.253202,4.777999431182697,4.78672206582375,6.300549e-06,4.7786770687663696,4.786014865127277,4.7786795141518725,4.786016966134381,1.0021900616309494,382.17993,0.60263234,0.0008742427,0.6901934,0.692243,0.69473994,9
