,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,epoch
330,4.783415905196712,4.790263009624786,0.01059027761220932,0.007175925653427839,4.787524168012743,0.009713091,0.011402333,0.009258276,0.3274199,4.783572418908077,4.787739779464068,9.3678325e-05,4.783419883217338,4.787487765135342,0.009391904,0.009168388,0.007302752,6.8015725e-06,4.7834188022595665,4.787487771483706,0.00051090284,4.783502677378706,4.787404969684907,0.13737833,0.13592917,0.1303933,0.00011563869,4.783502982131263,4.787405078362675,0.00060302863,4.783518320767477,4.787389322845116,0.14042152,0.13055572,0.13127962,0.00011074764,4.7834994254580945,4.787389428747659,0.0007987041,4.783585468842066,4.787322175360513,0.20486346,0.2204614,0.20553939,0.00017528422,4.783594301688655,4.787322349042798,0.0008444018,4.783595168259796,4.7873124736371535,0.20203595,0.20642163,0.21375366,0.00015848163,4.783593953207507,4.787312628190691,0.0012818808,4.783742467940873,4.787165166310941,0.29619578,0.28606138,0.30247307,0.0002468079,4.783733024577843,4.7871654065159275,3.627602e-06,4.7837786328065075,4.787129004669276,4.783767795535025,4.78712939925897,1.000654590696107,490.05536,0
27,4.779266508481836,4.791989633158143,0.014062500558793545,0.006481481250375509,4.786900383223803,0.0097362595,0.011373597,0.00925443,0.32691538,4.77964616673648,4.78774157297701,0.00026062664,4.779277612890902,4.787480637581434,0.009547835,0.009213707,0.0073017087,6.9705784e-06,4.779276999959402,4.787480644169813,0.0010204036,4.779440415578774,4.7873178267598115,0.1372385,0.13586578,0.13025498,0.00011624445,4.779442144534808,4.787317935620439,0.001093678,4.779452899370087,4.787305338053874,0.14019838,0.13046668,0.13135833,0.000112947135,4.779435432628669,4.787305446418134,0.0013973113,4.77956418625059,4.787194048428705,0.20459735,0.22119239,0.20539436,0.00017622237,4.779575270553425,4.787194223320437,0.0014376576,4.779572779305206,4.787185452803256,0.20140624,0.20539221,0.21380702,0.00015840694,4.779574131313297,4.787185607207718,0.002046797,4.779789748823984,4.786968464311823,0.29727536,0.28649563,0.30262923,0.00025111035,4.779781792357412,4.786968709378725,1.0513997e-05,4.779935589526625,4.786822622460909,4.7799303217523965,4.78682302119442,1.0010793405022178,489.59018,1
344,4.775269832442269,4.793724398690905,0.01614583283662796,0.00555555522441864,4.7863425721584525,0.009726743,0.011320931,0.00924052,0.3264914,4.775869119770058,4.787748948073007,0.0004217709,4.775288002331701,4.787473570431756,0.009691561,0.009259302,0.007300051,7.27856e-06,4.775287803615701,4.787473577477491,0.001471678,4.7755234466250025,4.787238108606198,0.13707596,0.13577107,0.13012992,0.00011664929,4.77552651988891,4.787238218399498,0.0015233767,4.775532349119707,4.787229198728602,0.139875,0.13033468,0.1314278,0.000115088755,4.775516414713571,4.787229310656138,0.0019311453,4.7756858231106785,4.787075717464741,0.2043876,0.22192648,0.20526439,0.00017726897,4.77569879803422,4.787075895296228,0.0019517882,4.77569026528015,4.787071270415523,0.20079419,0.2043808,0.2138569,0.00015874507,4.775694192625289,4.787071426717499,0.002731116,4.775975792608963,4.786785708823337,0.29844898,0.28700677,0.3027805,0.00025526612,4.775969499033388,4.786785960771408,1.9662199e-05,4.776220125114004,4.786541366854877,4.776220039374506,4.786541773481129,1.001500587595322,489.56406,2
314,4.771394861686643,4.795467173995091,0.01892361231148243,0.004976851865649223,4.7858382490694655,0.009684743,0.01124606,0.009218019,0.32615095,4.772212661150271,4.787761982505589,0.000559014,4.771419385423345,4.787467215145799,0.009816285,0.009303138,0.007299447,7.638418e-06,4.771419574545318,4.787467222772572,0.0018717604,4.771723334149064,4.787163236144453,0.1368873,0.13565284,0.13001575,0.00011713902,4.771727596032393,4.787163348049921,0.0018979147,4.771727915082232,4.787158645954023,0.13952434,0.13016799,0.13149235,0.000116946736,4.771713478173376,4.787158762335659,0.0023986164,4.771921019691295,4.786965526152839,0.20427936,0.22261576,0.20514025,0.00017852074,4.7719354167393195,4.78696570805291,0.0023943733,4.77192008258197,4.786966456990114,0.20017824,0.20333806,0.2138995,0.0001591892,4.771926152164316,4.786966617073009,0.0033348324,4.772272672722803,4.78661381589498,0.29962975,0.2876762,0.30293468,0.00025882138,4.772268520618174,4.786614076969359,3.0025554e-05,4.772607069703388,4.786279395011044,4.772611480644451,4.7862798128367405,1.0019195202782984,489.968,3
391,4.767620443904886,4.797221912731623,0.02309027872979641,0.004050925839692354,4.785381325185521,0.009625615,0.011176222,0.009187556,0.32594773,4.768657420584561,4.787780948288281,0.00068899506,4.767651424335754,4.787460757479745,0.009944055,0.009340951,0.0073007285,8.013827e-06,4.767651985548785,4.787460765787104,0.002205735,4.768017175297333,4.787094958621561,0.13666928,0.13550657,0.12990981,0.000117424686,4.768022394243036,4.7870950736304945,0.0022279222,4.768021156029351,4.787090967479776,0.13912763,0.12992875,0.13155563,0.0001184487,4.768008038783288,4.787091088876928,0.0027994365,4.768249835369977,4.786862263434162,0.20422716,0.22323391,0.20501928,0.00017959999,4.768265289178992,4.786862451023161,0.0027664653,4.768242414847744,4.786869677158946,0.19962218,0.20229994,0.21393383,0.00015936082,4.76825015108008,4.786869842190079,0.0038580163,4.768661286399967,4.786450731514979,0.3007841,0.28851366,0.3030932,0.0002616627,4.768659369745972,4.786451003958578,4.0678085e-05,4.7690782587016205,4.786033718591619,4.769086375809021,4.786034150937447,1.0023375850320635,490.78717,4
153,4.763916179927699,4.798998334012076,0.02673611231148243,0.003935185261070728,4.784965472396436,0.009569307,0.011118456,0.009149579,0.325904,4.76517446050034,4.787806173216599,0.0008022942,4.763953364477434,4.787454551845147,0.010075997,0.009394485,0.0073041315,8.442644e-06,4.763954307537142,4.7874545609551005,0.0024867444,4.764377208226618,4.7870306413754555,0.13645142,0.13535836,0.12980989,0.00011738665,4.76438349249965,4.787030760265813,0.0025153998,4.7643825073056165,4.787025328071989,0.1386854,0.12960029,0.13161883,0.00011959325,4.764370697046709,4.787025455272421,0.0031455406,4.764645130919332,4.786762670621025,0.2041828,0.22377291,0.20490146,0.00018028964,4.764661511545984,4.786762865089892,0.0030732315,4.764628363135526,4.786779430160673,0.19911572,0.20131774,0.21396115,0.00015918243,4.764637480355027,4.786779601038408,0.0042929547,4.765109973422044,4.7862977218290235,0.30191925,0.2894377,0.303255,0.0002638281,4.765110465158857,4.786298007466871,5.0923445e-05,4.76560967050868,4.785797963505646,4.7656214698502835,4.785798413308562,1.002758143900672,492.01074,5
23,4.760253424724156,4.800799587517202,0.03055555559694767,0.0034722222480922937,4.784581122490667,0.009536696,0.011092015,0.009104305,0.32605267,4.761736679269692,4.787838190016086,0.0009072175,4.760296978082195,4.787448180007934,0.010197404,0.009464049,0.007309769,8.9101595e-06,4.760298205704875,4.787448190062581,0.002712067,4.7607742424676145,4.786970827738291,0.13624784,0.13521464,0.12971473,0.0001169858,4.7607815410989796,4.786970951821766,0.002765704,4.760784528434725,4.786960525669927,0.13821298,0.12920885,0.1316824,0.00012034474,4.760773741190523,4.786960659820068,0.0034483904,4.761081192808902,4.78666381433285,0.20412502,0.22421601,0.20478767,0.00018066142,4.761098672189328,4.786664017439614,0.0033241299,4.761051351436763,4.786693647756853,0.19864166,0.20037869,0.21398304,0.00015893209,4.7610619920413795,4.786693826171785,0.0046549616,4.761594267540621,4.786150606797637,0.3030384,0.29042572,0.3034181,0.00026539832,4.761597171066759,4.786150907262759,6.0437374e-05,4.76217666660072,4.785568119472601,4.76219188617033,4.785568590767233,1.0031826932288368,493.6266,6
378,4.7566127763673585,4.802637367489759,0.03350694477558136,0.00277777761220932,4.784227530898199,0.009545866,0.011115859,0.009052358,0.32639468,4.758325484955451,4.7878775773895175,0.0010003252,4.756662725776726,4.787441781167941,0.010316996,0.009535232,0.00731763,9.373682e-06,4.756664187662088,4.7874417922841594,0.002900532,4.757192128330688,4.786912266209751,0.13604027,0.13510653,0.12962306,0.00011636167,4.757200490771971,4.786912396437203,0.0029770904,4.7572074023661335,4.786896971368841,0.1377251,0.12878998,0.13174713,0.000120888166,4.757197682341274,4.786897113178694,0.0036951613,4.757535357702908,4.786568955698292,0.20404385,0.2245603,0.2046782,0.00018055369,4.757554154018855,4.786569168791665,0.003534766,4.7574952968174316,4.786609010318973,0.1982317,0.19948912,0.2140016,0.00015844527,4.757507359917457,4.786609197678641,0.004942283,4.758093479614114,4.786010671171569,0.30409616,0.291403,0.30358008,0.00026613538,4.758098592881627,4.786010988273001,6.8851754e-05,4.758759286567011,4.785344746022553,4.758778187149348,4.785345242421157,1.0036135585193124,495.62994,7
507,4.752971397905247,4.804523341022451,0.03489583358168602,0.00277777761220932,4.783902563900271,0.009610052,0.01120573,0.0089946035,0.32692835,4.754918716245402,4.787924996355859,0.0010858395,4.753027982737154,4.787435142730579,0.010433953,0.009600258,0.007327525,9.80945e-06,4.753029721038409,4.787435155066027,0.0030549336,4.753608211609548,4.786854776223113,0.13581493,0.13503072,0.12953436,0.000115698815,4.753617625698513,4.786854914002932,0.0031546422,4.753628974863276,4.786833987033376,0.13726348,0.12835065,0.13181373,0.00012103778,4.7536203961013825,4.7868341372655845,0.0038881528,4.753984513598556,4.786478372835457,0.20393407,0.2247673,0.20457226,0.00018018697,4.7540048448277,4.786478597683102,0.0037089319,4.753937798806946,4.786525082342286,0.19788162,0.19863656,0.21401861,0.00015764989,4.75395131781394,4.786525280080366,0.0051657846,4.754586577839454,4.785876115049581,0.30506194,0.29240882,0.3037389,0.000266382,4.754594022832195,4.785876450704671,7.602267e-05,4.755335488045751,4.785127050431232,4.755358393093441,4.785127575666293,1.0040533434165455,498.0108,8
723,4.749309278869114,4.806464341910343,0.0364583358168602,0.0025462962221354246,4.783602316620514,0.009742416,0.011379719,0.0089317495,0.32765958,4.751496963998615,4.787981297624766,0.0011619322,4.749372644609072,4.787428358772785,0.010545027,0.009657321,0.0073392303,1.0217966e-05,4.749374687216542,4.787428372454694,0.0031809765,4.7500031947998425,4.7867976401556955,0.13557132,0.13497834,0.12944806,0.00011494362,4.750013884040789,4.786797786419505,0.0032938886,4.750027802994354,4.786773002812917,0.1368063,0.1279105,0.13188285,0.00012070745,4.750020451615119,4.786773161971273,0.0040436285,4.750411891234377,4.7863888220445,0.20384267,0.22485402,0.20446943,0.00017955966,4.750433957889359,4.786389059970232,0.0038474866,4.750358389033596,4.7864423195665,0.19756831,0.19783309,0.21403539,0.00015669536,4.750373077968797,4.786442529188191,0.005340374,4.751056674952132,4.785743808700659,0.30592394,0.29338697,0.30389327,0.0002660099,4.751066852444832,4.7857441648731545,8.1992075e-05,4.751887695882358,4.784912595602384,4.751915146176836,4.784913152474979,1.0045039875852746,500.75784,9
