,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_x_trivial_rep,percent_hidden_y_trivial_rep,percent_hidden_xy_trivial_rep,total_percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_x_sign_rep,percent_hidden_y_sign_rep,percent_hidden_xy_sign_rep,total_percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_x_standard_rep,percent_hidden_y_standard_rep,percent_hidden_xy_standard_rep,total_percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_x_standard_sign_rep,percent_hidden_y_standard_sign_rep,percent_hidden_xy_standard_sign_rep,total_percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_x_s5_5d_a_rep,percent_hidden_y_s5_5d_a_rep,percent_hidden_xy_s5_5d_a_rep,total_percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_x_s5_5d_b_rep,percent_hidden_y_s5_5d_b_rep,percent_hidden_xy_s5_5d_b_rep,total_percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_x_s5_6d_rep,percent_hidden_y_s5_6d_rep,percent_hidden_xy_s5_6d_rep,total_percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,percent_hidden_explained,percent_hidden_xy_explained,percent_x_embed_explained,percent_y_embed_explained,percent_unembed_explained,epoch
330,4.784290046122034,4.789640322290937,0.00989583320915699,0.007060185074806213,4.787500211854057,0.008842959,0.0085178455,0.007886768,3.1933e-15,3.1933e-15,3.1933e-15,9.5799e-15,4.784010831206788,4.7877544037817525,-6.456153e-05,4.784287333271679,4.787494456489635,0.007164508,0.00689838,0.008691804,0.0033511377,0.0034157885,8.608874e-06,0.006775535,4.784288542983563,4.787494460549016,0.000638037,4.784397316409257,4.787384469129259,0.12998429,0.13055915,0.12791678,0.058925007,0.054849632,0.00015905016,0.11393369,4.784404536348723,4.787384567918759,0.0009478102,4.78444939659891,4.787332386992598,0.13337573,0.13723522,0.13447464,0.058115352,0.05777432,0.00017953561,0.116069205,4.78444830509684,4.787332505215737,0.0010622456,4.784513283232911,4.787268497841489,0.21074809,0.2161671,0.20366485,0.09004609,0.092489265,0.00027520498,0.18281056,4.784508972914229,4.787268671320209,0.0006558822,4.784427886378548,4.787353900232404,0.21557316,0.20250387,0.20962504,0.094771355,0.08486016,0.0002573941,0.1798889,4.784438277154055,4.787354059184729,0.0009910744,4.784539985189113,4.787241797683617,0.29431126,0.29811847,0.30774012,0.1261125,0.12734072,0.00037467395,0.2538279,4.78455375463433,4.787242033796745,3.850379e-06,4.784777191268675,4.7870045821168885,4.784780218328069,4.787004976651574,1.0005505207644898,485.3419,0.41958898,0.0006223996,0.48127264,0.49085987,0.47474808,0
27,4.780278503369534,4.791266048488818,0.011805555783212185,0.006018518470227718,4.786871030401026,0.008783456,0.00852809,0.0078800935,3.2217726e-15,3.2217726e-15,3.2217726e-15,9.665318e-15,4.78017835587021,4.787748105493145,2.6570051e-05,4.780279617866389,4.787490628117784,0.007102874,0.007025433,0.008710521,0.0033490998,0.0035308828,8.62575e-06,0.0068886084,4.780280820152746,4.7874906322684705,0.001132644,4.7804685577986685,4.787301677504474,0.12990493,0.13048564,0.1279434,0.058871552,0.054981083,0.00015954753,0.11401218,4.780477642625518,4.787301776753288,0.0014211437,4.780516965171932,4.787253265677063,0.13314477,0.13785273,0.13452661,0.057928015,0.05798803,0.00018125893,0.1160973,4.780516949214001,4.787253385056213,0.0016855765,4.780632044072815,4.787138179376917,0.21095243,0.21577892,0.20374492,0.09014005,0.09230372,0.00027782173,0.18272159,4.780631174398035,4.7871383547782855,0.0012958293,4.780550301267807,4.787219931567169,0.21581288,0.20221011,0.20952483,0.0948822,0.084688105,0.00025874746,0.17982905,4.780562157907722,4.7872200937514275,0.0017699213,4.780723987315062,4.787046235860081,0.2942987,0.29811907,0.3076696,0.12624243,0.12727281,0.00037638895,0.25389165,4.780740997662359,4.787046473337859,1.0956201e-05,4.781061675535401,4.786708522318349,4.781071076953304,4.786708920445796,1.0009520378445316,484.74506,0.41971967,0.00062725396,0.481105,0.49114272,0.47492543,1
344,4.776404875937441,4.792885662565493,0.0164930559694767,0.004745370242744684,4.786293347949692,0.008684377,0.008528217,0.0078652995,2.8020896e-15,2.8020896e-15,2.8020896e-15,8.406268e-15,4.7764767911275765,4.7877468521810576,0.000106016654,4.776409346963663,4.787487270875718,0.007022939,0.007160645,0.008727653,0.0033404848,0.0036485794,8.555556e-06,0.0069976198,4.77641054826945,4.787487275129511,0.00159254,4.776673552015835,4.787223043661734,0.12981686,0.13038409,0.12796983,0.05879241,0.055104386,0.0001602503,0.11405704,4.7766843595222594,4.787223144368007,0.0018512362,4.776717194818394,4.787179395926311,0.13292295,0.1384048,0.13457786,0.057780217,0.058220442,0.0001827261,0.116183385,4.776718182787078,4.787179517044901,0.0022571846,4.776880881665359,4.787015692874898,0.21115421,0.2153546,0.20383659,0.090296246,0.09212929,0.0002808171,0.18270634,4.776883148723418,4.787015872288054,0.0018687438,4.776798972611736,4.787097616054412,0.21590818,0.20189646,0.20943156,0.09492262,0.08454144,0.0002598336,0.17972389,4.776812219278536,4.787097782917936,0.0024971408,4.777036815990602,4.786859753063289,0.29449052,0.29827112,0.30759123,0.12650037,0.1273392,0.00037990935,0.25421947,4.7770567437976155,4.786859995411956,2.0797297e-05,4.777466348085344,4.786430175044781,4.7774816122231165,4.786430580473498,1.0013486212707918,484.58173,0.4199444,0.00063234905,0.48091698,0.49130416,0.47511193,2
314,4.77265266243248,4.794504803180295,0.02031250111758709,0.0038194444496184587,4.785763946733843,0.008538085,0.008523531,0.007843856,3.078274e-15,3.078274e-15,3.078274e-15,9.2348224e-15,4.772891915757025,4.787750414550369,0.0001847338,4.772660550653297,4.787483853772448,0.0069274283,0.0073018195,0.008742726,0.0033253967,0.0037596985,8.372515e-06,0.0070934677,4.772661714006023,4.78748385811206,0.002012258,4.77299635334988,4.7871480132691895,0.12974295,0.13021913,0.12799883,0.05870499,0.05522193,0.00016161015,0.11408853,4.773008512654671,4.78714811670582,0.0022305953,4.773033641557965,4.787110717758799,0.13275832,0.1388782,0.13463283,0.057685174,0.058438677,0.00018430455,0.11630816,4.773035362487521,4.787110841591079,0.002775351,4.773245188136207,4.786899144187416,0.21138044,0.21492924,0.20393565,0.09053243,0.09195835,0.0002834663,0.18277425,4.773250338034081,4.786899329018678,0.002366611,4.773157934385284,4.786986418255841,0.21590476,0.20156473,0.2093382,0.094934456,0.084427096,0.0002610187,0.17962258,4.773172378194039,4.786986591734063,0.0031556606,4.773461140818955,4.7866831785351645,0.29474807,0.29858333,0.30750784,0.12682147,0.12754083,0.00038410354,0.25474638,4.77348348974954,4.786683428875257,3.232048e-05,4.773977747366499,4.786166500711474,4.773997940793476,4.786166917063565,1.0017420800948256,484.84723,0.4202644,0.0006377535,0.48080915,0.49132836,0.47531003,3
391,4.769003351598009,4.796131770981332,0.02395833469927311,0.0034722222480922937,4.78528040317655,0.00834409,0.008520896,0.007816185,3.1230192e-15,3.1230192e-15,3.1230192e-15,9.369058e-15,4.769407041472807,4.787758732047129,0.00026346702,4.769014814253673,4.787480278678867,0.0068355557,0.007445197,0.008755318,0.0033125912,0.0038640972,8.179593e-06,0.007184868,4.769015967884991,4.787480283123301,0.0023863679,4.7694186393280855,4.787076398648633,0.12971857,0.13003996,0.1280317,0.05864322,0.05535532,0.00016283727,0.11416139,4.769432159395941,4.787076505449227,0.0025557089,4.769448101752389,4.787046925496848,0.13260904,0.13926557,0.13469091,0.057624016,0.05865001,0.00018568894,0.11645972,4.769450594138569,4.787047053012674,0.0032341653,4.76970687400797,4.786788115952875,0.21158624,0.2145148,0.20403925,0.09082131,0.09180975,0.00028603146,0.18291709,4.769714814961302,4.78678830753567,0.002788254,4.769609889091397,4.786885127478476,0.21584904,0.20123868,0.2092413,0.09491673,0.08437435,0.00026182746,0.17955291,4.769625429855403,4.786885308417527,0.0037362995,4.76997866804933,4.786516296476029,0.29505754,0.29897487,0.30742532,0.12717193,0.12784271,0.00038810124,0.25540277,4.77000315753434,4.786516557153279,4.448993e-05,4.77057837525798,4.785916490400753,4.770603481573703,4.785916920736605,1.0021343559476488,485.5381,0.42072308,0.00064273726,0.4807494,0.49126554,0.47551718,4
153,4.7654298758288745,4.797764722289983,0.02812500111758709,0.0034722222480922937,4.784830783778159,0.008098916,0.008516182,0.0077827554,2.902989e-15,2.902989e-15,2.902989e-15,8.7089675e-15,4.765997021909336,4.787771850211154,0.0003447738,4.76544524708596,4.787476369360211,0.0067536933,0.007586656,0.008765078,0.0033019197,0.0039600627,8.023571e-06,0.0072700055,4.7654464342595455,4.78747637397341,0.0027246089,4.765915753803402,4.787005786508593,0.12974474,0.129831,0.12806624,0.058606286,0.05548859,0.00016393242,0.11425881,4.76593040726006,4.787005897788707,0.0028457735,4.765937353059951,4.7869841761881755,0.13244765,0.13961543,0.13475223,0.05758252,0.05886878,0.00018674017,0.11663804,4.765940551899109,4.786984308467846,0.0036318558,4.766239446798141,4.786682029648667,0.2117793,0.2141056,0.20414795,0.09114189,0.09169921,0.00028835397,0.18312944,4.76625010892976,4.7866822296994,0.0031477935,4.766131561376838,4.786789948627888,0.21574889,0.20093508,0.20914108,0.09488194,0.08438532,0.00026255977,0.17952982,4.766148238541654,4.786790138140229,0.004237918,4.766563495825239,4.786357942342164,0.2954268,0.29941005,0.30734468,0.12754847,0.12822095,0.00039114142,0.2561606,4.7665896993780414,4.786358215054519,5.669972e-05,4.767248171361458,4.785673133389884,4.767277874549816,4.785673581632299,1.0025265284920581,486.64185,0.4212963,0.0006470501,0.48072538,0.4911387,0.4757315,5
23,4.761913016597953,4.799416992652227,0.03281250223517418,0.003009259235113859,4.7844154021616285,0.007823497,0.008518531,0.007743997,2.811316e-15,2.811316e-15,2.811316e-15,8.433948e-15,4.762644257204829,4.787789906887366,0.00041253463,4.761931957618582,4.787472798905347,0.006677315,0.0077223307,0.008772227,0.0032909033,0.004048401,7.885473e-06,0.00734719,4.76193314070186,4.7874728037309335,0.0030161315,4.762466919915683,4.786937735757527,0.12981029,0.12958078,0.12809989,0.05858708,0.05562227,0.00016469335,0.11437405,4.762482635221415,4.786937851751503,0.003089649,4.76248040981636,4.7869242321694605,0.13229698,0.13990325,0.13481677,0.05756973,0.05908464,0.00018705288,0.11684142,4.762484386965081,4.786924370004809,0.003968443,4.762823991315128,4.786580582542471,0.21192507,0.21370298,0.2042627,0.09146975,0.09161919,0.00029023632,0.18337917,4.7628376931603364,4.7865807928786115,0.0034460432,4.762704090042292,4.786700524307962,0.2156091,0.20066117,0.20903942,0.0948501,0.084446475,0.0002627716,0.17955935,4.762721828727859,4.786700723431293,0.0046702907,4.76319954355512,4.786204975657171,0.2958578,0.2999111,0.30726504,0.12796485,0.128672,0.00039362462,0.2570305,4.763227840811326,4.786205262562948,6.8248526e-05,4.763964229911182,4.785440121004358,4.763998807564306,4.785440590050349,1.0029206093647753,488.1455,0.42194182,0.00064986805,0.48070967,0.49090934,0.47595158,6
378,4.758412720063072,4.801097536243714,0.03506944701075554,0.0021990740206092596,4.784023609732996,0.007540979,0.008539946,0.007700627,2.7765691e-15,2.7765691e-15,2.7765691e-15,8.329708e-15,4.759309527621168,4.787813060226164,0.00047502498,4.758435275145011,4.787469184244599,0.006609426,0.007849293,0.008776846,0.0032795705,0.00412634,7.766964e-06,0.0074136774,4.758436440482775,4.787469189343617,0.0032612386,4.759032076522727,4.786872253842154,0.12991253,0.12929657,0.12813106,0.058585767,0.055755407,0.00016493707,0.1145061,4.759048803171932,4.78687237524912,0.0032940283,4.759038290530868,4.786866025398534,0.13214469,0.14015323,0.13488406,0.05757223,0.05930677,0.00018695791,0.11706596,4.759043241496515,4.786866169340056,0.004257028,4.759423291934574,4.786480938408614,0.21202824,0.21329363,0.20438221,0.09180631,0.09158023,0.00029159544,0.18367814,4.75943992924983,4.786481160980709,0.003700436,4.759291183633611,4.78661309524702,0.21543571,0.2004258,0.20893762,0.09480566,0.08454795,0.00026270963,0.17961632,4.759310052992993,4.786613305116465,0.005044049,4.75984962740333,4.786054529215105,0.2963284,0.3004415,0.30718756,0.12840353,0.12917493,0.00039548916,0.25797394,4.759880276417174,4.78605483285584,7.89699e-05,4.760690773331159,4.785213173393764,4.7607302553219535,4.785213666576597,1.00331936477112,490.03943,0.42266387,0.00065125735,0.48069486,0.49059272,0.47617418,7
507,4.754911554676116,4.802811843610331,0.0364583358168602,0.0021990740206092596,4.783651727984082,0.007268746,0.008588839,0.007653298,2.8154687e-15,2.8154687e-15,2.8154687e-15,8.446406e-15,4.755976241945912,4.787841622780323,0.00054004154,4.7549381642217545,4.78746512695025,0.0065487507,0.00796345,0.008779165,0.0032708677,0.004193691,7.647846e-06,0.007472207,4.754939358220933,4.787465132366339,0.0034690537,4.755595271588956,4.78680786202845,0.1300202,0.12900689,0.12815945,0.058606282,0.0558827,0.0001650171,0.114654,4.755612885055779,4.786807989614894,0.0034664453,4.755594741699236,4.786808376212122,0.13198738,0.1403219,0.13495436,0.05758325,0.059512872,0.00018648748,0.117282614,4.755600683928536,4.786808527350803,0.0045004045,4.756020265667737,4.786382745201471,0.2120999,0.21291493,0.20450416,0.09214218,0.09157966,0.00029277307,0.18401462,4.756039771106441,4.786382981700024,0.003915064,4.755876086621603,4.786526983040021,0.2152231,0.20020524,0.20883636,0.09476128,0.08467556,0.00026226864,0.17969911,4.755895998182414,4.786527204456429,0.005361149,4.7564964994670635,4.7859064178914394,0.296852,0.30099887,0.30711323,0.12887138,0.12971996,0.0003967172,0.25898808,4.756529593122293,4.785906740383984,8.866551e-05,4.75741378148392,4.784988881983202,4.757458036330539,4.78498940279263,1.0037246562776712,492.3153,0.42342344,0.0006519255,0.4806562,0.4902072,0.47639713,8
723,4.751403051318946,4.8045682747229375,0.03975694626569748,0.00208333320915699,4.783302185375349,0.007025569,0.008681364,0.0076025007,2.9654746e-15,2.9654746e-15,2.9654746e-15,8.896424e-15,4.7526386337395,4.7878760474679805,0.0005928399,4.751433457171819,4.7874613300472895,0.006488388,0.008056245,0.008779434,0.0032630528,0.004247275,7.5194343e-06,0.007517847,4.7514346610586236,4.787461335814781,0.0036356605,4.75214888463247,4.786745710141935,0.13010925,0.12871918,0.1281851,0.058634337,0.05600066,0.00016515417,0.114800155,4.752167157770082,4.786745845142537,0.003616901,4.752145016666048,4.7867495594672675,0.1318342,0.14038485,0.13502845,0.057614625,0.059683938,0.00018565555,0.11748421,4.752151908230898,4.786749719060361,0.004703568,4.752609163121318,4.78628528657478,0.21214536,0.21255925,0.20462649,0.092482544,0.091610394,0.0002938212,0.18438676,4.7526313048796345,4.786285538652254,0.0040870216,4.752451093441131,4.786443426280403,0.21497118,0.20001337,0.20873654,0.09472172,0.08483014,0.00026131843,0.17981319,4.752471989801062,4.786443659984149,0.005621081,4.753132745728153,4.785761586672244,0.29742607,0.3015857,0.30704153,0.12938236,0.13029586,0.00039768033,0.2600759,4.753168350213363,4.785761930162506,9.70753e-05,4.754127369097951,4.784766657949586,4.754175879485319,4.784767210287137,1.004138354817603,494.9666,0.42418897,0.00065215037,0.4805772,0.48971954,0.47661948,9
