,train_loss,test_loss,train_acc,test_acc,all_loss,logit_trivial_rep_trace_similarity,logit_excluded_loss_trivial_rep,logit_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
318,4.788297207106163,4.7919731018747,0.009143518283963203,0.006770833395421505,4.789767565156308,9.177711e-09,4.788297207340223,4.787491742782046,4.188984e-05,4.788300066616618,4.787488883808408,3.9547383e-05,4.788308003666641,4.787480946364168,2.685663e-05,4.788304538842089,4.787484410934024,1.7545579e-05,4.788303195369314,4.787485755362231,4.2107233e-05,4.788311576694932,4.787477373712126,3.8867962e-05,4.788313123048272,4.787475826375455,7.631618e-09,4.78830739901185,4.7874815519606715,0
27,4.785901227190908,4.793670196036462,0.008564814925193787,0.00711805559694767,4.789008814667244,9.074938e-09,4.785901227091878,4.787491742782046,2.8914394e-05,4.785902868822287,4.787490100060772,6.784028e-05,4.785916642958865,4.787476325864748,6.4096406e-05,4.785915792805918,4.787477176671687,6.443842e-05,4.785919531860579,4.787473437987329,8.02921e-05,4.785924034934843,4.787468934491591,5.8587088e-05,4.785921196642072,4.787471771628164,2.3578274e-08,4.7859174364304975,4.787475533950109,1
335,4.784654767022215,4.79624024688224,0.00902777723968029,0.00642361119389534,4.789288958751867,7.0922397e-09,4.78465476667232,4.787491742782046,3.2050208e-05,4.784656750205822,4.787489758791809,5.0397608e-05,4.784667245513189,4.787479263808379,7.779478e-05,4.784674028483494,4.787472479985078,7.6198805e-05,4.784678349680755,4.787468158258597,7.935325e-05,4.784679327411331,4.787467181916974,4.7265945e-05,4.784672320267614,4.787474187466758,2.3956428e-08,4.784676012779735,4.787470495995252,2
299,4.783673377936449,4.798819874268964,0.009953703731298447,0.005381944589316845,4.789731976455451,5.9726517e-09,4.783673377901935,4.787491742782046,5.6720535e-05,4.783677295797337,4.787487825328191,5.53075e-05,4.783688657195679,4.787476463314732,8.451196e-05,4.783696724804536,4.787468395184239,8.15823e-05,4.783701549320387,4.787463569977163,8.233014e-05,4.783701807940659,4.787463311726437,5.510004e-05,4.783696210272406,4.787468909548265,2.9888348e-08,4.783700640925837,4.787464477730797,3
375,4.782726153679022,4.80109529911935,0.009953703731298447,0.004166666883975267,4.790073811628566,5.0640665e-09,4.782726153320427,4.787491742782046,7.8120305e-05,4.782731949052006,4.787485946307623,7.630443e-05,4.782748800187858,4.787469095783371,7.663659e-05,4.782748897022867,4.787468997197924,0.0001066897,4.782765732565237,4.7874521611783,8.03319e-05,4.782755954077533,4.78746193984987,7.248639e-05,4.782758422278338,4.787459472054572,4.08885e-08,4.782754692758442,4.787463200722935,4
148,4.781747073606566,4.803060259043289,0.010648148134350777,0.004513889085501432,4.790272347517908,3.9735824e-09,4.781747073162233,4.787491742782046,7.77768e-05,4.781753070772079,4.7874857448198105,8.8896326e-05,4.781774494051853,4.787464320830881,7.260672e-05,4.781769467717625,4.7874693456994315,0.00012709144,4.781796074292792,4.787442737738492,8.219262e-05,4.78177876420591,4.787460050207794,9.522725e-05,4.781791132615342,4.787447680479169,5.1199613e-08,4.781775465391413,4.787463347736216,5
22,4.780717042296041,4.80478916529875,0.011805555783212185,0.003993055783212185,4.7903458914169,3.3396645e-09,4.780717042146704,4.787491742782046,8.294834e-05,4.780723539575344,4.7874852434699,9.2209215e-05,4.780745939848116,4.787462842970076,7.522815e-05,4.780740618000438,4.7874681650969695,0.00013813918,4.780771156745706,4.7874376240677625,9.378645e-05,4.780753783490917,4.78745500009621,0.000117735006,4.780772387365,4.787436392777862,6.27821e-08,4.780747115520925,4.7874616657852345,6
362,4.779649191115697,4.806376950019678,0.01215277798473835,0.0034722222480922937,4.7903402947781615,2.5220288e-09,4.779649191308258,4.787491742782046,7.701482e-05,4.779655248428882,4.787485684914027,9.822559e-05,4.779680094059087,4.787460837618041,8.041471e-05,4.779674490834398,4.787466441532563,0.00015428753,4.77970986460803,4.787431062566074,0.00011191401,4.779693203704246,4.78744772776284,0.00014033669,4.779715418831782,4.787425510622979,7.8069846e-08,4.77968054638427,4.787460383664958,7
466,4.778575809737196,4.807951736938836,0.011574073694646358,0.0032986111473292112,4.790326180816954,2.1591404e-09,4.778575810075129,4.787491742782046,6.578638e-05,4.778580994548279,4.787486557940361,0.00010315317,4.778608326556008,4.787459223362732,9.4569725e-05,4.778605619576157,4.787461929326115,0.00016431388,4.778640553701056,4.787426992103658,0.00012927887,4.778626750811705,4.7874407982303735,0.00015327169,4.778648282337485,4.787419263585117,9.111615e-08,4.778610804057612,4.787456744484843,8
672,4.777479888901251,4.8096065521072955,0.011805555783212185,0.0036458333488553762,4.790330554092743,1.461558e-09,4.7774798887252645,4.787491742782046,6.9316644e-05,4.777485381202478,4.787486249382289,0.000111195564,4.777515134903108,4.7874564933710095,0.00011202882,4.777515398327119,4.787456229228866,0.00017728348,4.777550129742297,4.787421493400804,0.00014692778,4.777538103273688,4.787433521964871,0.00016207258,4.777556947760722,4.7874146763580745,1.0900443e-07,4.777520890995803,4.7874507358305,9
