,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s5_5d_a_rep_trace_similarity,logit_excluded_loss_s5_5d_a_rep,logit_restricted_loss_s5_5d_a_rep,percent_x_embed_s5_5d_a_rep,percent_y_embed_s5_5d_a_rep,percent_unembed_s5_5d_a_rep,percent_hidden_s5_5d_a_rep,hidden_excluded_loss_s5_5d_a_rep,hidden_restricted_loss_s5_5d_a_rep,logit_s5_5d_b_rep_trace_similarity,logit_excluded_loss_s5_5d_b_rep,logit_restricted_loss_s5_5d_b_rep,percent_x_embed_s5_5d_b_rep,percent_y_embed_s5_5d_b_rep,percent_unembed_s5_5d_b_rep,percent_hidden_s5_5d_b_rep,hidden_excluded_loss_s5_5d_b_rep,hidden_restricted_loss_s5_5d_b_rep,logit_s5_6d_rep_trace_similarity,logit_excluded_loss_s5_6d_rep,logit_restricted_loss_s5_6d_rep,percent_x_embed_s5_6d_rep,percent_y_embed_s5_6d_rep,percent_unembed_s5_6d_rep,percent_hidden_s5_6d_rep,hidden_excluded_loss_s5_6d_rep,hidden_restricted_loss_s5_6d_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,epoch
318,4.78891057833603,4.791991934097091,0.009606481529772282,0.0062500000931322575,4.79014312075004,0.0121988645,0.0121988645,0.008748944,0.95802665,4.787178916498189,4.788758109231058,3.3034652e-05,4.788913001248774,4.787489320261486,0.007709278,0.007709278,0.009421441,1.6981417e-07,4.788051956804561,4.787489265522757,1.24921135e-05,4.788914243427253,4.78748807845605,0.13428044,0.13428044,0.13627288,1.0478126e-06,4.788052766966755,4.7874880085169265,1.4268928e-05,4.788914765140328,4.787487557261146,0.13214952,0.13214952,0.1276671,1.165902e-06,4.788053847862626,4.787487564858446,6.0062157e-06,4.788912781601586,4.787489540519167,0.20346619,0.20346619,0.2061848,1.4376512e-06,4.788050932042709,4.7874896568526975,2.57848e-05,4.788920032337322,4.787482288426337,0.21072765,0.21072765,0.20979741,1.6079808e-06,4.788058787334826,4.787482360175092,2.400193e-07,4.788910683517418,4.787491637174329,0.29946798,0.29946798,0.30190733,2.257292e-06,4.788049952546426,4.787491712403397,2.1519313e-09,4.788916664874204,4.787485655935717,4.788055278385475,4.787485531256356,1.0009412880334183,0,0
27,4.7861792303956125,4.793861679030438,0.00972222164273262,0.0076388888992369175,4.789252210029763,0.0122483745,0.0122483745,0.008755611,0.9552103,4.786782413131864,4.788795752265263,1.0616961e-05,4.786179870865045,4.787491102983708,0.0077300714,0.0077300714,0.009426602,1.4582355e-07,4.786871033193125,4.787491043374272,3.8388476e-05,4.786188483672934,4.787482489330058,0.13437203,0.13437203,0.13647303,1.1146374e-06,4.786879484210294,4.787482444402728,1.6938997e-05,4.786183313472356,4.78748765967568,0.13198218,0.13198218,0.12766284,1.2020538e-06,4.786874407075688,4.7874876767303425,3.1924952e-05,4.786188849545319,4.787482123487712,0.20354621,0.20354621,0.20622015,1.5420487e-06,4.786879193476704,4.787482239335005,5.09527e-05,4.786194583143761,4.78747639024516,0.21063854,0.21063854,0.20976889,1.6706553e-06,4.786885081785069,4.787476488286382,4.8845643e-05,4.786196890649762,4.787474081588896,0.2994825,0.2994825,0.30169284,2.4663004e-06,4.786888797397116,4.7874741492200785,7.874601e-09,4.786189124167023,4.787481849531669,4.786880346949125,4.78748174499988,1.0013326283775852,0,1
335,4.784777567432475,4.796531889584857,0.010185184888541698,0.0065972222946584225,4.789479296355132,0.012275611,0.012275611,0.008753472,0.9546009,4.786380859582926,4.789405435597444,7.5248245e-06,4.784778051404828,4.787491258678313,0.0077408305,0.0077408305,0.009430743,1.422773e-07,4.786466222116797,4.787491193874631,2.959637e-05,4.7847851823913965,4.787484126545166,0.13446072,0.13446072,0.13664725,1.1916395e-06,4.7864734131290625,4.7874841024610895,4.15787e-05,4.784788266232643,4.787481043049756,0.13181886,0.13181886,0.12773663,1.1524946e-06,4.786476763352418,4.787481069363951,5.9760474e-05,4.78479678954875,4.787472519567527,0.2036231,0.2036231,0.20624812,1.4671174e-06,4.7864840870042435,4.787472639206887,6.638984e-05,4.784798922042143,4.78747038709522,0.2105749,0.2105749,0.20966586,1.7312975e-06,4.786486755408295,4.787470507688323,6.90982e-05,4.784804239475387,4.787465070513753,0.299506,0.299506,0.3015179,2.3861317e-06,4.786492621653266,4.787465133481158,1.5414843e-08,4.784785666909587,4.787483642441259,4.7864739836828205,4.7874835535479905,1.0018899983541794,0,2
299,4.783777168788433,4.79901817436058,0.01041666604578495,0.0062500000931322575,4.789873571106372,0.012277881,0.012277881,0.008749576,0.9546752,4.785968343690303,4.789953796229887,6.720511e-06,4.783777644116368,4.787491267881799,0.0077503365,0.0077503365,0.009435683,1.4804125e-07,4.78619490211984,4.7874911979855685,2.8921102e-05,4.783785342660035,4.787483568023838,0.13455635,0.13455635,0.1368182,1.155845e-06,4.786202647182104,4.787483562064769,7.189026e-05,4.783797487898523,4.78747142248961,0.13164881,0.13164881,0.1278282,1.1629434e-06,4.786215091714891,4.7874714577454425,7.9728634e-05,4.783805337640048,4.787463572949404,0.20369053,0.20369053,0.20626014,1.4489812e-06,4.786221530567116,4.78746369812645,7.473462e-05,4.783803572667348,4.787465337441763,0.21053696,0.21053696,0.2095589,1.7841037e-06,4.786220405254283,4.787465476862176,7.802519e-05,4.783810248501196,4.787458661215336,0.29953915,0.29953915,0.30134925,2.4169028e-06,4.7862272169337805,4.787458720916147,2.4079654e-08,4.78378581797221,4.787483093124016,4.7862031457694645,4.7874830172634475,1.0024094408388577,0,3
375,4.7828376402951545,4.801034555963371,0.009374999441206455,0.0055555556900799274,4.790116406715419,0.0122579895,0.0122579895,0.008744299,0.95434964,4.7855606339803085,4.790229306422777,1.7345112e-05,4.7828389306300965,4.787490452336203,0.0077554686,0.0077554686,0.00944275,1.5994911e-07,4.785829464307033,4.787490377651737,4.9227965e-05,4.782852288966584,4.787477092882747,0.1346597,0.1346597,0.13698076,1.1022769e-06,4.785842179650832,4.787477104576178,8.176015e-05,4.782861970909703,4.787467411536261,0.13147524,0.13147524,0.12790582,1.2606108e-06,4.785852678775422,4.787467456455349,7.362261e-05,4.782865026944031,4.78746435581429,0.20376575,0.20376575,0.206263,1.5013957e-06,4.785854557814912,4.787464488081564,9.058893e-05,4.782871336774751,4.787458044494461,0.21051893,0.21051893,0.20947076,1.7704492e-06,4.785861529211214,4.787458201469123,8.57486e-05,4.78287591496262,4.787453465502802,0.29956686,0.29956686,0.30119258,2.4950655e-06,4.7858660216180295,4.787453522797088,3.0388435e-08,4.782853578577454,4.7874758024360995,4.7858435437323905,4.787475739445174,1.0028321431284721,0,4
148,4.781872768679204,4.802671667394359,0.01041666604578495,0.0036458333488553762,4.790192328277296,0.012224671,0.012224671,0.0087365145,0.95333517,4.785136040647356,4.790288109221407,2.1417334e-05,4.781874393547506,4.787490116766913,0.007757106,0.007757106,0.0094516715,1.7192262e-07,4.785341912507759,4.787490037049953,6.760645e-05,4.781893298665957,4.787471211910932,0.13476299,0.13476299,0.1371322,1.1765674e-06,4.785359844261626,4.787471240787297,8.7002234e-05,4.781899186990693,4.787465321762675,0.13129707,0.13129707,0.12796451,1.3136681e-06,4.785366855002021,4.787465378283228,8.2693296e-05,4.781904157347654,4.7874603521850965,0.20385298,0.20385298,0.20627382,1.600184e-06,4.785370769827989,4.787460490963818,0.00010521844,4.781912707549688,4.787451801590109,0.21051927,0.21051927,0.20939335,1.8535216e-06,4.785380025748563,4.787451974890203,0.000110370514,4.781923042106982,4.787441466452096,0.2995859,0.2995859,0.30104798,2.6104285e-06,4.785390516804661,4.7874415238020855,4.2689475e-08,4.78189492420873,4.7874695858958,4.785361539218573,4.78746953505367,1.0031754003298359,0,5
22,4.780892967712296,4.804148139442881,0.013657406903803349,0.004166666883975267,4.790195036505939,0.012178943,0.012178943,0.008724491,0.9514589,4.7846863337053,4.79022400343623,3.3858298e-05,4.7808955584254536,4.787489153278677,0.007755465,0.007755465,0.0094631035,2.0750157e-07,4.784764122616767,4.787489068300353,9.150793e-05,4.7809209591147805,4.787463748441381,0.13487178,0.13487178,0.13727185,1.2712835e-06,4.784788717896854,4.787463794003797,9.815077e-05,4.780922991147538,4.787461716248276,0.13111988,0.13111988,0.1280111,1.3568895e-06,4.784791862166872,4.78746178605057,8.603596e-05,4.780925866852086,4.787458842349447,0.20394449,0.20394449,0.20630026,1.6932877e-06,4.784793825982273,4.787458986709344,0.0001262931,4.780941258797975,4.7874434478997,0.21053007,0.21053007,0.20932278,2.0115478e-06,4.784809843929096,4.787443638755173,0.00013060267,4.780952895559964,4.787431811322052,0.29959932,0.29959932,0.30090636,2.7393207e-06,4.784821735533251,4.7874318712351265,5.956285e-08,4.780923549069788,4.7874611589368214,4.784791239292079,4.787461119523298,1.0034855677159513,0,6
362,4.779916403148549,4.805640151193905,0.013773147948086262,0.004513889085501432,4.790205902355044,0.012124117,0.012124117,0.008707974,0.9485948,4.784204221803259,4.790107840530395,3.3300945e-05,4.779918966421359,4.787489178276303,0.0077520143,0.0077520143,0.009476984,2.5602026e-07,4.784121586565366,4.787489087773896,0.000107952015,4.779949652745739,4.7874584892383085,0.13498239,0.13498239,0.13740201,1.4016819e-06,4.784151893998519,4.787458550848034,0.000110751906,4.779950515513168,4.787457626759021,0.1309483,0.1309483,0.12805158,1.44411e-06,4.784153787206587,4.787457712624153,9.549958e-05,4.779953171527235,4.787454970650459,0.2040457,0.2040457,0.20634551,1.8416276e-06,4.784155677648723,4.787455120400533,0.00014054502,4.779970514700506,4.7874376259195195,0.21054235,0.21054235,0.20925394,2.1997962e-06,4.784172984760718,4.787437837062268,0.0001402027,4.7799811799817595,4.787426960704156,0.29960516,0.29960516,0.300762,2.9613393e-06,4.784184065837036,4.787427026548841,7.355844e-08,4.779952216909654,4.787455924732075,4.7841542287698005,4.787455895837901,1.003798312872566,0,7
466,4.778936718349166,4.807234613185919,0.015046295709908009,0.003993055783212185,4.790255876567207,0.012058899,0.012058899,0.008687559,0.94467413,4.783676968420229,4.789986466645171,3.4906472e-05,4.778939443376935,4.787489019286817,0.0077477074,0.0077477074,0.0094940625,3.1103957e-07,4.783425954625702,4.787488922942647,0.0001266663,4.778976246120763,4.787452211418115,0.13510162,0.13510162,0.13753062,1.5905707e-06,4.7834625655914875,4.787452288480188,0.00012152357,4.778974640364593,4.787453816414082,0.13078322,0.13078322,0.12809032,1.5831928e-06,4.783461990341695,4.7874539206824505,0.000107685686,4.778978723539014,4.787449733151575,0.20415705,0.20415705,0.20640758,2.0222574e-06,4.783465362606361,4.787449889114224,0.00014928161,4.778994948920673,4.787433506041501,0.21055232,0.21055232,0.20918125,2.4022665e-06,4.78348112766383,4.787433740600352,0.00015185626,4.779007801408859,4.787420653392146,0.2995993,0.2995993,0.30060858,3.226461e-06,4.783494732443214,4.78742072920757,8.897232e-08,4.778978968555233,4.78744948792186,4.783465071929193,4.787449468645222,1.004132710887139,0,8
672,4.777918835194642,4.808980814483114,0.014699073508381844,0.0036458333488553762,4.790343626956655,0.011981995,0.011981995,0.008663979,0.9396998,4.783076029480599,4.789878119026804,4.1835294e-05,4.777922164023452,4.787488413675455,0.007743444,0.007743444,0.009516441,3.6882952e-07,4.782666204883202,4.787488311088487,0.00015509792,4.777968196955884,4.787442374168851,0.13522676,0.13522676,0.1376658,1.8099787e-06,4.782712081650254,4.787442466391148,0.00012409323,4.777958332010554,4.787452243137573,0.13062623,0.13062623,0.12812881,1.7400922e-06,4.7827031700771,4.787452368748666,0.00012371555,4.777968055023382,4.787442518492484,0.20427544,0.20427544,0.20647934,2.2069503e-06,4.782712288881106,4.7874426813516,0.00016825862,4.777985777009877,4.787424795592397,0.21055743,0.21055743,0.20909712,2.665776e-06,4.782729445081966,4.787425056231492,0.0001625824,4.777996454496469,4.787414116292457,0.29958874,0.29958874,0.30044848,3.5379308e-06,4.782740977084695,4.787414205975409,1.11254224e-07,4.777971525735277,4.787439045063665,4.782715250990955,4.78743903468973,1.004499645768289,0,9
