,train_loss,test_loss,train_acc,test_acc,all_loss,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,logit_s6_5d_a_rep_trace_similarity,logit_excluded_loss_s6_5d_a_rep,logit_restricted_loss_s6_5d_a_rep,logit_s6_5d_b_rep_trace_similarity,logit_excluded_loss_s6_5d_b_rep,logit_restricted_loss_s6_5d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,epoch
318,6.581109515070089,6.581557472933599,0.0014467593282461166,0.0012602880597114563,6.581378289788195,1.559145e-06,6.581109617433932,6.579251110222436,-1.3281424e-06,6.581109082140323,6.5792516455442875,2.490755e-06,6.581110327824836,6.5792503989743185,-2.3626085e-06,6.581108742725719,6.579251983216201,9.589021e-07,6.581109827866611,6.579250899003893,1.6900167e-11,6.581109827866611,6.579250899003893,0
27,6.579755826484729,6.580907549386522,0.0014853395987302065,0.001369598787277937,6.580446860225804,2.927203e-06,6.579755970248395,6.579251068336907,-8.4881003e-07,6.579755617856156,6.579251420316902,3.197556e-06,6.57975661112936,6.579250427296608,-1.2029523e-06,6.579755531185504,6.579251507227081,1.956234e-06,6.579756306164898,6.579250731929916,2.4787304e-11,6.579756306164898,6.579250731929916,1
335,6.5790804429979115,6.580805831158404,0.0013551312731578946,0.0013117283815518022,6.580115675894207,6.019197e-06,6.579080695545754,6.579250959830956,6.0328784e-07,6.579080569569381,6.579251085633908,5.050877e-06,6.579081500945196,6.57925015395708,-3.5738594e-07,6.579080368427705,6.57925128687498,3.2054213e-06,6.579081113824257,6.57925054054137,7.250849e-11,6.579081113824257,6.57925054054137,2
299,6.578660986967904,6.580878303229558,0.0014178241835907102,0.001237782882526517,6.579991376724897,6.4501655e-06,6.578661237813428,6.579250961224188,2.2718536e-06,6.578661428867556,6.579250770355555,4.31467e-06,6.578661825815286,6.579250373226467,2.7962233e-07,6.578661041401686,6.5792511576507575,3.1862219e-06,6.578661606178593,6.579250592599936,7.561254e-11,6.578661606178593,6.579250592599936,3
375,6.578325853967055,6.580993701902234,0.0015287423739209771,0.0011156121036037803,6.579926562728164,8.075658e-06,6.5783261551343974,6.579250910739487,2.8341715e-06,6.578326382805433,6.579250683351816,3.8561975e-06,6.57832657337636,6.579250492713149,2.160641e-06,6.578326256556062,6.579250808985462,3.592706e-06,6.578326524443771,6.579250541862297,1.05694946e-10,6.578326524443771,6.579250541862297,4
148,6.57802050240515,6.581128446190344,0.001692708465270698,0.0011509773321449757,6.579885268676267,8.9844525e-06,6.578020827888076,6.579250886331755,2.3031098e-06,6.578020919572693,6.5792507945816805,4.86506e-06,6.578021384136446,6.5792503302396,2.8178401e-06,6.578021013140525,6.579250701289098,3.9545466e-06,6.578021218609773,6.579250495266099,1.3327217e-10,6.578021218609773,6.579250495266099,5
22,6.577719060576132,6.581282316025141,0.0016348380595445633,0.0011188271455466747,6.579857013845536,9.65101e-06,6.577719403296144,6.579250869336459,2.257268e-06,6.577719461917792,6.5792508112715335,7.071205e-06,6.5777203156770945,6.579249956640963,3.0796818e-06,6.577719607583907,6.579250665266287,3.7679529e-06,6.577719730056106,6.579250543075791,1.719211e-10,6.577719730056106,6.579250543075791,6
362,6.577407254314316,6.581454945661429,0.0016830633394420147,0.0011252572294324636,6.579835869122585,9.715928e-06,6.5774075946725326,6.5792508715111735,3.1822178e-06,6.577407812208065,6.579250654398962,9.506108e-06,6.577408920009524,6.579249546281413,4.388541e-06,6.5774080228208796,6.579250443018361,4.056812e-06,6.577407965284977,6.579250501146266,2.3060887e-10,6.577407965284977,6.579250501146266,7
466,6.577082606396381,6.581653226897135,0.0017746913945302367,0.0011638374999165535,6.579824978696834,9.550913e-06,6.577082940504573,6.579250878539946,5.3572576e-06,6.57708354166358,6.579250276766654,1.1913442e-05,6.577084685981863,6.579249132220451,5.526199e-06,6.577083570970467,6.579250247273735,4.708958e-06,6.577083428469982,6.579250389943546,3.1456343e-10,6.577083428469982,6.579250389943546,8
672,6.5767450888228804,6.58188295501704,0.0017988041508942842,0.0011638374999165535,6.579827808539377,9.801223e-06,6.576745433857325,6.5792508672580645,6.9071457e-06,6.576746303311327,6.579249997236824,1.4284087e-05,6.576747600576225,6.5792486998396615,5.641168e-06,6.576746080653008,6.579250219886804,5.5210157e-06,6.57674605989601,6.5792502410182285,4.1011217e-10,6.57674605989601,6.5792502410182285,9
138,6.576391540692856,6.582146975374063,0.0018904322059825063,0.0011413323227316141,6.57984480150158,1.0298626e-05,6.576391910025389,6.5792508426669,8.551453e-06,6.57639307438713,6.579249678591166,1.6426064e-05,6.576394486186958,6.579248266541654,5.514902e-06,6.576392529327652,6.579250223095728,6.856815e-06,6.576392770055485,6.579249982468221,5.264347e-10,6.576392770055485,6.579249982468221,10
215,6.576018848241374,6.58245332721291,0.0018759645754471421,0.0011959876865148544,6.579879535624296,1.0773127e-05,6.576019247242939,6.579250813062263,9.816247e-06,6.576020666195881,6.579249394445258,1.7682278e-05,6.576022122198669,6.579247937980593,5.424561e-06,6.576019853027232,6.579250207604761,8.051077e-06,6.576020338584041,6.579249721282162,6.193276e-10,6.576020338584041,6.579249721282162,11
108,6.575625619783105,6.58280963696502,0.0018180941697210073,0.001173482509329915,6.579936030092254,9.742781e-06,6.575625996686093,6.579250835001711,1.0595702e-05,6.575627669486559,6.579249161943871,1.7961678e-05,6.575629095005182,6.579247736768336,5.0886065e-06,6.575626604034247,6.579250227461756,9.594928e-06,6.575627475898,6.579249355574595,6.4776906e-10,6.575627475898,6.579249355574595,12
92,6.575210084147061,6.583219768552516,0.0018422069260850549,0.0011349022388458252,6.580015894790334,8.4630055e-06,6.575210429870861,6.579250866313385,1.0679931e-05,6.57521226616594,6.579249030741539,1.7091517e-05,6.575213575171163,6.579247721239625,5.268914e-06,6.57521116007093,6.579250135887353,1.12105845e-05,6.5752123737207535,6.579248922360931,6.31242e-10,6.5752123737207535,6.579248922360931,13
355,6.574770417702032,6.583688251531333,0.0018759645754471421,0.0011091821361333132,6.580121117999614,7.6857905e-06,6.574770752216602,6.579250877845717,1.0260435e-05,6.574772648405121,6.579248981483083,1.564974e-05,6.574773819651743,6.57924780989647,6.312681e-06,6.574771789526629,6.5792498396896155,1.2342264e-05,6.5747731001354754,6.579248528912197,6.014437e-10,6.5747731001354754,6.579248528912197,14
118,6.5743037137016165,6.5842169028195725,0.0018856097012758255,0.0010963219683617353,6.580251627172391,7.693188e-06,6.574304071370102,6.579250854067413,9.967354e-06,6.574306031622046,6.579248893243005,1.46619495e-05,6.574307125240395,6.579247801110526,7.852057e-06,6.574305539841585,6.5792493853378105,1.3452799e-05,6.574306842971692,6.579248082402646,6.1613864e-10,6.574306842971692,6.579248082402646,15
60,6.573808700787637,6.584802973144072,0.0018759645754471421,0.001015946501865983,6.580405264201499,7.760514e-06,6.573809088047304,6.579250825100159,9.614245e-06,6.5738110975554775,6.579248815359573,1.3968913e-05,6.573812182502909,6.57924772982298,9.054571e-06,6.5738109582227455,6.579248954875821,1.4440824e-05,6.573812300176281,6.579247612184398,6.3831246e-10,6.573812300176281,6.579247612184398,16
179,6.573282466087902,6.5854371191975645,0.0019048997201025486,0.0009998714085668325,6.580575257953701,7.564383e-06,6.573282868611501,6.579250808900786,9.789853e-06,6.573285073965459,6.57924860348166,1.3332086e-05,6.573286019078774,6.5792476596456995,1.0254938e-05,6.573285198271654,6.579248479558704,1.4751147e-05,6.573286397338215,6.579247281533558,6.5356576e-10,6.573286397338215,6.579247281533558,17
649,6.572720610096929,6.586110357011714,0.0019820602610707283,0.000996656366623938,6.580754458245801,7.098468e-06,6.572721012420567,6.579250809639352,1.0040152e-05,6.572723455934803,6.57924836642121,1.2884784e-05,6.572724261403031,6.5792475601931475,1.1589e-05,6.572723895013005,6.5792479274454685,1.50323e-05,6.572724871088385,6.579246951542107,6.774855e-10,6.572724871088385,6.579246951542107,18
