,train_loss,test_loss,train_acc,test_acc,all_loss,percent_x_embed_trivial_rep,percent_y_embed_trivial_rep,percent_unembed_trivial_rep,percent_hidden_x_trivial_rep,percent_hidden_y_trivial_rep,percent_hidden_xy_trivial_rep,total_percent_hidden_trivial_rep,hidden_excluded_loss_trivial_rep,hidden_restricted_loss_trivial_rep,logit_sign_rep_trace_similarity,logit_excluded_loss_sign_rep,logit_restricted_loss_sign_rep,percent_x_embed_sign_rep,percent_y_embed_sign_rep,percent_unembed_sign_rep,percent_hidden_x_sign_rep,percent_hidden_y_sign_rep,percent_hidden_xy_sign_rep,total_percent_hidden_sign_rep,hidden_excluded_loss_sign_rep,hidden_restricted_loss_sign_rep,logit_standard_rep_trace_similarity,logit_excluded_loss_standard_rep,logit_restricted_loss_standard_rep,percent_x_embed_standard_rep,percent_y_embed_standard_rep,percent_unembed_standard_rep,percent_hidden_x_standard_rep,percent_hidden_y_standard_rep,percent_hidden_xy_standard_rep,total_percent_hidden_standard_rep,hidden_excluded_loss_standard_rep,hidden_restricted_loss_standard_rep,logit_standard_sign_rep_trace_similarity,logit_excluded_loss_standard_sign_rep,logit_restricted_loss_standard_sign_rep,percent_x_embed_standard_sign_rep,percent_y_embed_standard_sign_rep,percent_unembed_standard_sign_rep,percent_hidden_x_standard_sign_rep,percent_hidden_y_standard_sign_rep,percent_hidden_xy_standard_sign_rep,total_percent_hidden_standard_sign_rep,hidden_excluded_loss_standard_sign_rep,hidden_restricted_loss_standard_sign_rep,logit_s6_5d_a_rep_trace_similarity,logit_excluded_loss_s6_5d_a_rep,logit_restricted_loss_s6_5d_a_rep,percent_x_embed_s6_5d_a_rep,percent_y_embed_s6_5d_a_rep,percent_unembed_s6_5d_a_rep,percent_hidden_x_s6_5d_a_rep,percent_hidden_y_s6_5d_a_rep,percent_hidden_xy_s6_5d_a_rep,total_percent_hidden_s6_5d_a_rep,hidden_excluded_loss_s6_5d_a_rep,hidden_restricted_loss_s6_5d_a_rep,logit_s6_5d_b_rep_trace_similarity,logit_excluded_loss_s6_5d_b_rep,logit_restricted_loss_s6_5d_b_rep,percent_x_embed_s6_5d_b_rep,percent_y_embed_s6_5d_b_rep,percent_unembed_s6_5d_b_rep,percent_hidden_x_s6_5d_b_rep,percent_hidden_y_s6_5d_b_rep,percent_hidden_xy_s6_5d_b_rep,total_percent_hidden_s6_5d_b_rep,hidden_excluded_loss_s6_5d_b_rep,hidden_restricted_loss_s6_5d_b_rep,percent_logits_explained,total_logit_excluded_loss,total_logit_restricted_loss,total_hidden_excluded_loss,total_hidden_restricted_loss,test_loss_restricted_loss_ratio,sum_of_squared_weights,percent_hidden_explained,percent_hidden_xy_explained,percent_x_embed_explained,percent_y_embed_explained,percent_unembed_explained,epoch
318,52.65237106743503,52.65598065463037,0.0015239198692142963,0.0013406635262072086,52.654536819752224,0.0014276876,0.0014276876,0.0015422342,2.3826793e-13,2.3826793e-13,2.3826793e-13,7.1480376e-13,52.63437005649234,52.646590236691814,-2.0685547e-07,52.65237094831752,52.634009814633366,0.0016153465,0.0016153465,0.0016417275,0.0007937502,0.00079603866,6.93697e-08,0.0015898582,52.64654005751104,52.63400978411944,-5.308557e-07,52.65236953632109,52.63401121729481,0.036677226,0.036677226,0.0355862,0.018405063,0.018438166,9.4081514e-07,0.03684417,52.64653863632375,52.634011147328195,-6.245391e-07,52.65236927904149,52.634011485752865,0.03329979,0.03329979,0.03404305,0.016864568,0.016895875,9.657027e-07,0.03376141,52.646538419204546,52.63401140852545,9.70982e-07,52.65237384913276,52.6340069136457,0.033582203,0.033582203,0.034434374,0.016580436,0.016613709,8.7574e-07,0.033195022,52.646542972705326,52.634006907109615,6.885857e-07,52.652373040733984,52.63400772287747,0.034381405,0.034381405,0.03651407,0.017851679,0.017899875,9.1390245e-07,0.035752464,52.64654191318276,52.634007667924635,2.1316024e-12,52.65237292152477,52.63400784143004,52.64654179596477,52.63400775596095,1.0004174658097726,0,0.03734232,9.832721e-07,0.03599675,0.03599675,0.038155798,0
27,52.639810058701514,52.648745666191175,0.0015335648786276579,0.0013149434234946966,52.64517142319532,0.0014409154,0.0014409154,0.0015425291,2.2681073e-13,2.2681073e-13,2.2681073e-13,6.8043216e-13,52.63362335732464,52.647704889515595,-3.2283333e-07,52.63980992296021,52.634009832723386,0.0016154507,0.0016154507,0.0016413594,0.00081456744,0.00081560615,6.977756e-08,0.0016302433,52.64636812647983,52.63400980360411,-2.689495e-06,52.63980437228693,52.63401538786474,0.036679,0.036679,0.0355757,0.018292116,0.018291065,1.0336131e-06,0.036584213,52.64636248097257,52.63401530292046,-6.006394e-07,52.63980878829857,52.63401096721515,0.033309747,0.033309747,0.03404224,0.016929755,0.016926171,9.1569234e-07,0.033856843,52.64636702044671,52.63401088170391,2.3620078e-06,52.639815060487145,52.634004697358876,0.033571303,0.033571303,0.034444418,0.016577506,0.016577879,8.924662e-07,0.03315628,52.646373183664856,52.63400467850192,2.3285611e-07,52.63981055228028,52.63400920328694,0.034373242,0.034373242,0.036483154,0.017820867,0.017831072,9.2616824e-07,0.035652865,52.64636850915939,52.63400915383692,1.3331675e-11,52.63981041596295,52.63400933992945,52.64636838133389,52.63400926135732,1.0002799787635535,0,0.037283108,9.959458e-07,0.035988692,0.035988692,0.038124513,1
335,52.634415536202845,52.6476921132658,0.0014901621034368873,0.001369598787277937,52.642381482440626,0.0014567071,0.0014567071,0.0015424798,1.867241e-13,1.867241e-13,1.867241e-13,5.601723e-13,52.632896951673864,52.650263719661076,2.4485862e-06,52.63441643219218,52.634008796932896,0.0016153425,0.0016153425,0.0016419803,0.00081898546,0.0008194269,1.2179402e-07,0.0016385341,52.64819666606133,52.63400876934567,-3.4099771e-06,52.634409276904,52.63401595698833,0.03668277,0.03668277,0.035562463,0.018186826,0.01816965,1.1296634e-06,0.036357608,52.6481893546477,52.63401586254812,5.8714886e-07,52.634416611066285,52.63400861804286,0.033320043,0.033320043,0.03404444,0.016945554,0.016924461,9.61822e-07,0.033870976,52.64819684347316,52.6340085296665,2.2841164e-06,52.63441972758943,52.63400550231624,0.03355862,0.03355862,0.034453534,0.016529178,0.01651363,9.645761e-07,0.033043776,52.6481997540612,52.63400547716108,3.6439997e-07,52.6344161984899,52.634009027022266,0.034360275,0.034360275,0.036461703,0.017759271,0.017750015,9.662866e-07,0.035510253,52.64819626256522,52.63400898529389,2.3318238e-11,52.63441710337675,52.63400812787427,52.648197215054516,52.63400805855932,1.0002599850403042,0,0.03714879,1.0880806e-06,0.035975616,0.035975616,0.038103685,2
299,52.63113295460064,52.648003443872234,0.0015962577890604734,0.0012763631530106068,52.641255248163596,0.0014678112,0.0014678112,0.0015418577,1.6895125e-13,1.6895125e-13,1.6895125e-13,5.068538e-13,52.63216387336158,52.65160922306798,5.1513543e-06,52.631134717635135,52.63400793445492,0.0016149662,0.0016149662,0.001643106,0.0008150703,0.0008152934,1.2802826e-07,0.0016304918,52.64917591559582,52.6340079081905,-3.791934e-06,52.631126464770844,52.634016179784105,0.03668876,0.03668876,0.0355416,0.018075418,0.018057821,1.1684881e-06,0.036134407,52.64916747799072,52.63401608326046,1.3684667e-06,52.63113529739954,52.634007356184675,0.033338495,0.033338495,0.0340529,0.016909348,0.016886456,1.0571457e-06,0.03379686,52.64917651550353,52.63400726751319,1.6646245e-06,52.63113580804985,52.63400684979417,0.033543836,0.033543836,0.034460697,0.016486445,0.01647031,1.0403887e-06,0.032957796,52.649176785988,52.63400682205926,1.6910581e-06,52.631135849376136,52.634006804596375,0.03434701,0.03434701,0.03645121,0.017695142,0.01768362,9.922611e-07,0.035379753,52.64917694780949,52.634006768441886,4.8418568e-11,52.631137605309796,52.634005042970614,52.64917874583535,52.63400498055517,1.0002659585437634,0,0.037010245,1.1202894e-06,0.035961974,0.035961974,0.038094316,3
375,52.62838024732517,52.64829159335738,0.0015625000232830644,0.0012667181435972452,52.64032705494449,0.0014733789,0.0014733789,0.0015408305,1.6759702e-13,1.6759702e-13,1.6759702e-13,5.0279106e-13,52.6314506908611,52.65153530025616,7.856821e-06,52.628382757330684,52.63400718307457,0.001614319,0.001614319,0.0016445387,0.0008132012,0.00081354467,1.2178067e-07,0.0016268676,52.64895236222543,52.63400715798858,-3.0431638e-06,52.62837537980814,52.63401456286572,0.036696587,0.036696587,0.035513997,0.018000355,0.017991915,1.2015031e-06,0.035993475,52.6489448039638,52.63401447103894,2.2107988e-06,52.62838378397747,52.634006160456984,0.033360094,0.033360094,0.034067526,0.016873533,0.016859323,1.1367028e-06,0.03373399,52.64895339194026,52.634006072035454,2.8655086e-06,52.62838483416444,52.63400511341177,0.033528257,0.033528257,0.03446842,0.016435934,0.016428215,1.1341534e-06,0.032865282,52.648954218125944,52.634005082915756,1.2704459e-06,52.62838227634927,52.634007664318055,0.034335908,0.034335908,0.036449388,0.017631752,0.017628787,1.0767453e-06,0.035261616,52.648951823639905,52.634007630582886,8.570329e-11,52.628384785709656,52.63400515131162,52.64895436004114,52.63400509249512,1.0002714310042937,0,0.036888484,1.198526e-06,0.035950225,0.035950225,0.038093925,4
148,52.6258384615917,52.64861539266833,0.0016010802937671542,0.001212062779814005,52.63950462023768,0.0014746683,0.0014746683,0.0015396343,1.6402785e-13,1.6402785e-13,1.6402785e-13,4.9208353e-13,52.63071124596266,52.650600379273946,8.9237e-06,52.6258411346829,52.63400702835453,0.001613457,0.001613457,0.0016460376,0.00081495586,0.00081571005,1.302035e-07,0.0016307961,52.647886285148935,52.63400700427667,-3.4837044e-06,52.62583325575851,52.634014903321884,0.036705416,0.036705416,0.035481848,0.017962368,0.017968185,1.242381e-06,0.035931792,52.64787829161466,52.63401482089255,2.3926332e-06,52.62584203784374,52.63400611971025,0.033383965,0.033383965,0.034085367,0.016858006,0.016857943,1.1990157e-06,0.033717148,52.64788724241605,52.634006029755305,4.2748325e-06,52.6258448475392,52.63400330630724,0.033513866,0.033513866,0.03447646,0.016365161,0.01637044,1.207091e-06,0.032736808,52.64788984781022,52.63400327217582,4.894646e-07,52.62583919477877,52.63400896445729,0.03432684,0.03432684,0.036451466,0.017589444,0.017600343,1.1730141e-06,0.03519096,52.64788433164859,52.634008931052584,1.1600708e-10,52.62584185891639,52.63400629673107,52.64788701332917,52.63400623924299,1.0002775611143666,0,0.036821753,1.3032176e-06,0.035940297,0.035940297,0.038097505,5
22,52.62347851619852,52.6491632946029,0.001514274743385613,0.0012763631530106068,52.63888938324116,0.0014728117,0.0014728117,0.0015381331,1.4547884e-13,1.4547884e-13,1.4547884e-13,4.3643653e-13,52.62993125553143,52.6493394127482,9.6532585e-06,52.62348124906971,52.634006966964144,0.0016121705,0.0016121705,0.0016472763,0.0008182428,0.00081948895,1.4022572e-07,0.001637872,52.646397008930286,52.6340069436854,-3.6951096e-06,52.62347329137281,52.6340149193881,0.036714584,0.036714584,0.035447955,0.017936552,0.017957456,1.2973671e-06,0.035895303,52.64638905381307,52.63401484842542,3.4287887e-06,52.62348336440109,52.63400484923766,0.03340958,0.03340958,0.034104835,0.016857306,0.016872004,1.2499204e-06,0.03373056,52.64639928295237,52.63400475621388,5.3281565e-06,52.623486047186205,52.63400216434252,0.033500552,0.033500552,0.034483243,0.016294688,0.016313497,1.299505e-06,0.032609485,52.64640168311247,52.634002124948346,-1.3257595e-06,52.62347664125488,52.634011570138675,0.03431872,0.03431872,0.03645472,0.01756462,0.017589934,1.2797674e-06,0.035155836,52.646392491416336,52.63401153461444,1.4874271e-10,52.62347937111152,52.634008841022016,52.646395263471604,52.63400878221955,1.0002879224428078,0,0.03679371,1.4199932e-06,0.03593089,0.03593089,0.038101994,6
362,52.62124739997599,52.65003811545651,0.0015576775185763836,0.0012538579758256674,52.638521829264306,0.0014686009,0.0014686009,0.0015363917,2.3236605e-13,2.3236605e-13,2.3236605e-13,6.9709814e-13,52.629105494916686,52.64806350055849,1.0805103e-05,52.621250352537615,52.63400674450844,0.0016104978,0.0016104978,0.0016483774,0.0008196205,0.0008212199,1.4925358e-07,0.0016409897,52.64472551412123,52.63400672185828,-1.8719743e-06,52.6212448395128,52.634012252867535,0.03672329,0.03672329,0.03541552,0.017909512,0.01794362,1.3845054e-06,0.03585452,52.64472007338653,52.63401219474633,4.9616574e-06,52.621254175876736,52.6340029193318,0.033436168,0.033436168,0.034124844,0.01686239,0.016889807,1.3345245e-06,0.03375353,52.64472960128331,52.634002821810526,6.978533e-06,52.621256934582746,52.63400016463659,0.033488713,0.033488713,0.034487657,0.016225353,0.016255597,1.3972805e-06,0.032482345,52.6447319765576,52.63400011821905,-1.1408456e-06,52.62124584388384,52.6340112542748,0.03431121,0.03431121,0.036457825,0.017527144,0.01756491,1.3772564e-06,0.035093434,52.64472112110824,52.63401121432419,1.9487403e-10,52.62124879647079,52.634008302702355,52.644724119152144,52.63400824010183,1.0003045535745931,0,0.036734425,1.5265099e-06,0.035921708,0.035921708,0.038106203,7
466,52.61904862963094,52.65129796795071,0.0015721451491117477,0.00119277264457196,52.638398232622805,0.0014623579,0.0014623579,0.0015343793,2.0032393e-13,2.0032393e-13,2.0032393e-13,6.009718e-13,52.62822693169346,52.646921673893445,1.062744e-05,52.619051500264284,52.63400682108152,0.0016084076,0.0016084076,0.0016493581,0.00081896957,0.0008206451,1.5884044e-07,0.0016397734,52.642966530692895,52.63400679893732,1.2159485e-06,52.61905027345715,52.63400805135188,0.03673119,0.03673119,0.035386346,0.017871499,0.017915586,1.4793924e-06,0.035788562,52.642965332569126,52.6340080067764,4.9344144e-06,52.619055305012076,52.634003021642215,0.033463538,0.033463538,0.034144364,0.016860146,0.016897233,1.4541557e-06,0.033758834,52.64297069306112,52.63400291887457,8.412953e-06,52.61906001176884,52.63399831646438,0.033478186,0.033478186,0.034489464,0.016176334,0.016215216,1.4909659e-06,0.03239304,52.64297490533445,52.633998260986495,-9.63033e-07,52.619047325453415,52.63401099870868,0.0343045,0.0343045,0.036461107,0.01746651,0.017513933,1.4766592e-06,0.034981918,52.642962421733415,52.63401095288695,2.1047468e-10,52.61905020496964,52.6340081237094,52.64296533684181,52.634008055741305,1.000328493171014,0,0.03662169,1.6354996e-06,0.03591291,0.03591291,0.038110465,8
672,52.6167958812603,52.6529173523478,0.001692708465270698,0.0011959876865148544,52.6384687639128,0.0014545193,0.0014545193,0.001532132,1.3440517e-13,1.3440517e-13,1.3440517e-13,4.032155e-13,52.62729875218896,52.64595009843583,1.1269754e-05,52.61679896186329,52.63400661497689,0.0016059147,0.0016059147,0.0016503641,0.00081826193,0.00081981014,1.7147784e-07,0.0016382436,52.641149322573824,52.63400659319921,3.3835086e-06,52.616800505456055,52.63400507089471,0.036738843,0.036738843,0.035360806,0.01782085,0.017872151,1.5913081e-06,0.03569459,52.64115081759186,52.63400504067984,5.403477e-06,52.616803270408056,52.63400230963884,0.03349145,0.03349145,0.034162972,0.01685164,0.016895706,1.5723657e-06,0.033748917,52.64115401395324,52.63400220165251,1.0247022e-05,52.61680988835101,52.633995688612295,0.033468757,0.033468757,0.034489103,0.016154006,0.016199276,1.5746613e-06,0.032354858,52.64116015117666,52.63399562333137,-6.8924874e-07,52.6167949369552,52.634010638269665,0.03429781,0.03429781,0.036463864,0.017390287,0.017444903,1.5807776e-06,0.03483677,52.64114528116759,52.634010584498625,2.7312957e-10,52.616798024363426,52.63400755716565,52.6411483948788,52.63400748161811,1.000359270966329,0,0.036475014,1.7522555e-06,0.035903722,0.035903722,0.038114227,9
